NO_OF_FRAMES	3364
NO_OF_CAMERAS	8
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-07-29, 12:15:23.646	6912.52665900
DATA_INCLUDED	3D
MARKER_NAMES	Drone - 1	Drone - 2	Drone - 3	Drone - 4	Drone - 5
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured
Frame	Time	Drone - 1 X	Drone - 1 Y	Drone - 1 Z	Drone - 2 X	Drone - 2 Y	Drone - 2 Z	Drone - 3 X	Drone - 3 Y	Drone - 3 Z	Drone - 4 X	Drone - 4 Y	Drone - 4 Z	Drone - 5 X	Drone - 5 Y	Drone - 5 Z	
1212	12.11000	414.107	-1032.961	1313.669	471.538	-1065.275	1292.768	400.199	-994.560	1269.585	393.578	-1068.533	1274.054	455.729	-989.531	1289.456
1213	12.12000	418.222	-1034.725	1313.071	475.689	-1067.020	1292.302	404.223	-996.425	1269.264	397.928	-1070.360	1273.376	459.596	-991.143	1289.009
1214	12.13000	422.268	-1036.616	1312.460	479.624	-1068.664	1291.690	408.354	-998.373	1268.600	402.065	-1072.250	1272.757	463.660	-993.008	1288.290
1215	12.14000	426.355	-1038.407	1311.807	483.747	-1070.537	1291.245	412.288	-1000.303	1267.860	406.429	-1074.370	1272.310	467.695	-994.675	1287.913
1216	12.15000	430.485	-1040.123	1311.229	487.958	-1072.330	1290.800	416.337	-1002.344	1267.486	410.640	-1076.208	1271.820	471.940	-996.453	1287.347
1217	12.16000	434.588	-1042.102	1310.753	492.229	-1074.155	1290.281	420.446	-1004.195	1266.745	414.923	-1078.331	1271.295	476.178	-998.207	1286.867
1218	12.17000	438.997	-1044.234	1310.065	496.629	-1075.988	1289.667	424.725	-1006.289	1266.409	419.385	-1080.425	1270.780	480.621	-1000.063	1286.194
1219	12.18000	443.432	-1046.204	1309.615	500.970	-1077.771	1289.048	428.851	-1008.175	1265.821	423.978	-1082.694	1270.114	484.631	-1002.185	1285.755
1220	12.19000	447.953	-1048.249	1309.098	505.454	-1079.705	1288.548	432.939	-1009.183	1265.206	428.334	-1084.427	1269.517	487.962	-1001.137	1285.347
1221	12.20000	452.617	-1050.214	1308.576	510.032	-1081.695	1288.091	437.341	-1010.966	1264.628	433.025	-1086.553	1269.065	492.527	-1002.865	1284.741
1222	12.21000	457.459	-1052.460	1308.124	514.711	-1083.667	1287.600	441.803	-1013.101	1264.233	437.748	-1088.777	1268.721	497.224	-1004.847	1284.254
1223	12.22000	462.058	-1054.670	1307.755	519.384	-1085.571	1286.951	446.344	-1015.211	1264.059	442.495	-1090.760	1268.322	501.694	-1006.793	1283.802
1224	12.23000	466.861	-1056.673	1307.544	524.010	-1087.507	1286.533	451.083	-1017.371	1263.618	447.451	-1093.053	1268.102	506.252	-1008.665	1283.340
1225	12.24000	471.534	-1058.595	1307.207	528.627	-1089.324	1286.163	455.578	-1019.292	1263.268	452.042	-1095.012	1267.657	510.991	-1010.775	1282.988
1226	12.25000	476.309	-1060.708	1306.934	533.336	-1091.153	1285.804	460.081	-1021.241	1262.989	456.649	-1096.871	1267.380	515.708	-1012.694	1282.743
1227	12.26000	480.931	-1062.536	1306.649	537.897	-1092.994	1285.613	464.775	-1023.180	1262.903	461.388	-1098.947	1267.234	520.356	-1014.534	1282.404
1228	12.27000	485.396	-1064.364	1306.363	542.464	-1094.742	1285.381	468.933	-1024.874	1262.535	466.030	-1100.796	1267.091	524.668	-1016.216	1282.237
1229	12.28000	489.982	-1066.171	1306.347	546.856	-1096.481	1285.341	473.366	-1026.690	1262.615	470.475	-1102.390	1266.997	529.300	-1018.005	1281.940
1230	12.29000	494.410	-1067.749	1306.257	551.204	-1097.958	1285.278	477.836	-1028.717	1262.555	475.159	-1104.365	1267.098	533.602	-1019.357	1281.775
1231	12.30000	498.651	-1069.399	1306.364	557.946	-1100.522	1284.892	482.059	-1030.360	1262.541	479.616	-1105.865	1266.889	537.975	-1021.088	1281.823
1232	12.31000	503.007	-1070.736	1306.139	562.375	-1101.989	1285.001	486.369	-1031.821	1262.633	484.084	-1107.532	1267.020	542.395	-1022.512	1281.904
1233	12.32000	507.314	-1072.206	1306.346	566.802	-1103.271	1285.116	490.537	-1033.173	1262.728	488.287	-1108.896	1267.046	546.783	-1023.869	1282.074
1234	12.33000	511.725	-1073.639	1306.545	571.117	-1104.515	1285.178	494.849	-1034.499	1262.925	492.727	-1110.416	1267.428	550.994	-1024.989	1282.120
1235	12.34000	515.902	-1074.779	1306.763	575.467	-1105.686	1285.408	498.990	-1035.783	1263.107	497.068	-1111.631	1267.706	555.307	-1026.266	1282.247
1236	12.35000	520.205	-1075.936	1307.144	579.779	-1106.715	1285.827	503.168	-1036.988	1263.138	501.374	-1112.870	1267.974	559.559	-1027.432	1282.673
1237	12.36000	524.435	-1077.018	1307.448	584.007	-1107.812	1286.211	507.354	-1038.182	1263.716	505.759	-1114.047	1268.209	563.819	-1028.586	1282.974
1238	12.37000	528.587	-1077.995	1307.822	588.271	-1108.687	1286.621	511.535	-1039.246	1263.801	509.909	-1115.015	1268.609	567.915	-1029.437	1283.245
1239	12.38000	532.722	-1079.031	1308.201	592.423	-1109.713	1287.012	515.749	-1040.318	1264.169	514.219	-1115.995	1268.998	572.244	-1030.508	1283.627
1240	12.39000	536.976	-1079.887	1308.512	596.713	-1110.703	1287.672	519.971	-1041.318	1264.786	518.502	-1117.027	1269.352	576.358	-1031.453	1284.176
