NO_OF_FRAMES	3086
NO_OF_CAMERAS	8
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-08-04, 11:07:11.809	521236.73058640
DATA_INCLUDED	3D
MARKER_NAMES	Drone - 1	Drone - 2	Drone - 3	Drone - 4	Drone - 5
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured
Frame	Time	Drone - 1 X	Drone - 1 Y	Drone - 1 Z	Drone - 2 X	Drone - 2 Y	Drone - 2 Z	Drone - 3 X	Drone - 3 Y	Drone - 3 Z	Drone - 4 X	Drone - 4 Y	Drone - 4 Z	Drone - 5 X	Drone - 5 Y	Drone - 5 Z	
133	1.32000	3.021	-151.443	310.126	43.559	-167.398	350.774	106.032	-147.792	321.908	44.429	-99.844	323.777	53.424	-205.961	308.928
134	1.33000	3.018	-151.393	310.224	43.587	-167.376	350.765	106.038	-147.678	322.059	44.439	-99.835	323.847	53.500	-205.872	309.018
135	1.34000	2.953	-151.225	310.339	43.531	-167.406	350.765	106.063	-147.628	322.146	44.433	-99.730	323.876	53.452	-205.791	309.095
136	1.35000	2.968	-151.286	310.308	43.554	-167.364	350.860	106.018	-147.573	322.104	44.444	-99.761	323.937	53.473	-205.829	309.134
137	1.36000	2.974	-151.300	310.204	43.502	-167.372	350.801	106.036	-147.706	322.097	44.476	-99.741	323.889	53.457	-205.870	309.035
138	1.37000	2.978	-151.503	310.169	43.597	-167.426	350.841	106.058	-147.767	321.947	44.460	-99.869	323.822	53.494	-205.938	308.943
139	1.38000	3.044	-151.611	310.119	43.566	-167.371	350.793	106.031	-147.769	321.923	44.496	-99.855	323.890	53.452	-205.949	308.942
140	1.39000	2.994	-151.362	310.189	43.556	-167.397	350.765	106.004	-147.683	321.954	44.476	-99.841	323.732	53.471	-205.889	308.968
141	1.40000	2.975	-151.204	310.265	43.523	-167.368	350.833	106.012	-147.520	322.139	44.441	-99.776	323.871	53.437	-205.849	309.093
142	1.41000	3.017	-151.276	310.290	43.547	-167.401	350.792	106.012	-147.543	322.114	44.506	-99.837	323.873	53.511	-205.820	309.072
143	1.42000	3.030	-151.381	310.240	43.542	-167.314	350.748	106.001	-147.694	322.012	44.474	-99.760	323.854	53.476	-205.830	309.074
144	1.43000	3.029	-151.564	310.049	43.542	-167.367	350.781	106.046	-147.830	321.953	44.515	-99.845	323.849	53.471	-205.885	308.918
145	1.44000	3.008	-151.607	310.051	43.561	-167.372	350.738	106.040	-147.852	321.890	44.486	-99.783	323.748	53.478	-205.928	308.936
146	1.45000	2.990	-151.390	310.210	43.602	-167.415	350.863	106.073	-147.696	322.004	44.385	-99.758	323.829	53.510	-205.907	308.962
147	1.46000	2.980	-151.214	310.297	43.498	-167.387	350.787	106.021	-147.568	322.112	44.509	-99.823	323.835	53.498	-205.766	309.090
148	1.47000	2.962	-151.187	310.304	43.543	-167.311	350.826	105.947	-147.532	322.163	44.440	-99.780	323.883	53.500	-205.777	309.170
149	1.48000	2.995	-151.383	310.253	43.538	-167.341	350.812	106.027	-147.621	322.102	44.440	-99.730	323.887	53.463	-205.843	309.086
150	1.49000	3.009	-151.646	310.061	43.537	-167.381	350.758	106.064	-147.781	321.912	44.440	-99.825	323.855	53.473	-205.864	308.913
151	1.50000	3.018	-151.588	310.056	43.569	-167.373	350.764	106.050	-147.812	321.872	44.498	-99.870	323.915	53.448	-205.890	308.837
