NO_OF_FRAMES	2516
NO_OF_CAMERAS	12
NO_OF_MARKERS	9
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-03-02, 12:43:11.835	705197.54193160
DATA_INCLUDED	3D
MARKER_NAMES	Drone - 1	Drone - 2	Drone - 3	Drone - 4	Drone - 5	Origin - 1	Origin - 2	Origin - 3	Origin - 4
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	Drone - 1 X	Drone - 1 Y	Drone - 1 Z	Drone - 2 X	Drone - 2 Y	Drone - 2 Z	Drone - 3 X	Drone - 3 Y	Drone - 3 Z	Drone - 4 X	Drone - 4 Y	Drone - 4 Z	Drone - 5 X	Drone - 5 Y	Drone - 5 Z	Origin - 1 X	Origin - 1 Y	Origin - 1 Z	Origin - 2 X	Origin - 2 Y	Origin - 2 Z	Origin - 3 X	Origin - 3 Y	Origin - 3 Z	Origin - 4 X	Origin - 4 Y	Origin - 4 Z	
3507	35.06000	547.252	2193.370	205.411	618.193	2119.303	192.830	625.279	2193.335	191.435	567.790	2102.654	207.186	602.682	2158.832	233.126	10.496	374.933	48.748	574.389	10.270	48.653	209.410	10.319	48.938	9.858	9.872	48.847
3508	35.07000	547.255	2193.418	205.370	618.209	2119.309	192.828	625.293	2193.212	191.399	567.809	2102.656	207.142	602.693	2158.838	233.095	10.512	374.910	48.757	574.420	10.294	48.734	209.459	10.309	48.873	9.836	9.813	48.835
3509	35.08000	547.262	2193.443	205.455	618.219	2119.311	192.903	625.304	2193.255	191.376	567.807	2102.649	207.171	602.703	2158.852	233.102	10.528	374.898	48.734	574.412	10.284	48.697	209.473	10.317	48.871	9.837	9.858	48.840
3510	35.09000	547.291	2193.407	205.484	618.200	2119.302	192.877	625.331	2193.326	191.436	567.783	2102.701	207.201	602.811	2158.942	233.220	10.524	374.897	48.786	574.455	10.294	48.721	209.467	10.320	48.887	9.869	9.852	48.825
3511	35.10000	547.274	2193.475	205.454	618.247	2119.295	192.862	625.336	2193.319	191.512	567.811	2102.668	207.206	602.834	2158.959	233.223	10.520	374.923	48.816	574.428	10.265	48.714	209.507	10.351	48.915	9.889	9.893	48.879
3512	35.11000	547.314	2193.437	205.410	618.206	2119.327	192.862	625.328	2193.286	191.412	567.800	2102.655	207.191	602.723	2158.876	233.111	10.510	374.881	48.748	574.301	10.278	48.719	209.460	10.333	48.947	9.881	9.868	48.846
3513	35.12000	547.254	2193.407	205.400	618.188	2119.303	192.828	625.330	2193.287	191.418	567.816	2102.670	207.178	602.668	2158.857	233.107	10.492	374.868	48.781	574.388	10.249	48.739	209.463	10.313	48.885	9.858	9.811	48.801
3514	35.13000	547.290	2193.392	205.344	618.132	2119.284	192.781	625.319	2193.284	191.425	567.817	2102.653	207.193	602.738	2158.901	233.165	10.522	374.916	48.783	574.440	10.259	48.731	209.492	10.348	48.869	9.869	9.848	48.876
3515	35.14000	547.260	2193.392	205.378	618.216	2119.278	192.799	625.325	2193.281	191.420	567.812	2102.667	207.190	602.739	2158.866	233.103	10.516	374.892	48.759	574.476	10.303	48.736	209.457	10.315	48.912	9.879	9.840	48.851
3516	35.15000	547.295	2193.378	205.426	618.228	2119.293	192.788	625.310	2193.302	191.461	567.847	2102.623	207.166	602.767	2158.887	233.133	10.491	374.923	48.841	574.415	10.241	48.706	209.446	10.312	48.937	9.883	9.859	48.868
3517	35.16000	547.272	2193.434	205.454	618.237	2119.286	192.815	625.322	2193.270	191.406	567.871	2102.650	207.187	602.804	2158.914	233.200	10.533	374.933	48.815	574.476	10.289	48.718	209.468	10.376	48.915	9.888	9.875	48.871
3518	35.17000	547.274	2193.385	205.412	618.228	2119.297	192.810	625.303	2193.237	191.363	567.887	2102.614	207.234	602.801	2158.900	233.159	10.507	374.904	48.758	574.464	10.255	48.715	209.469	10.307	48.887	9.886	9.841	48.865
3519	35.18000	547.267	2193.340	205.395	618.299	2119.294	192.882	625.303	2193.258	191.421	567.849	2102.597	207.213	602.789	2158.869	233.198	10.498	374.861	48.767	574.439	10.285	48.712	209.454	10.305	48.914	9.900	9.862	48.850
3520	35.19000	547.282	2193.347	205.421	618.255	2119.307	192.826	625.290	2193.284	191.439	567.897	2102.590	207.247	602.753	2158.839	233.121	10.532	374.921	48.748	574.430	10.291	48.732	209.466	10.308	48.908	9.859	9.844	48.833
3521	35.20000	547.227	2193.367	205.380	618.270	2119.313	192.823	625.302	2193.242	191.388	567.910	2102.596	207.205	602.732	2158.883	233.107	10.528	374.907	48.791	574.456	10.303	48.729	209.503	10.348	48.882	9.888	9.866	48.854
3522	35.21000	547.269	2193.404	205.447	618.192	2119.318	192.822	625.306	2193.387	191.497	567.889	2102.616	207.158	602.798	2158.885	233.225	10.522	374.897	48.772	574.443	10.277	48.694	209.474	10.307	48.933	9.859	9.864	48.873
3523	35.22000	547.244	2193.409	205.446	618.221	2119.276	192.784	625.301	2193.307	191.421	567.853	2102.615	207.184	602.742	2158.904	233.142	10.533	374.936	48.786	574.420	10.296	48.682	209.442	10.347	48.925	9.867	9.839	48.805
3524	35.23000	547.267	2193.403	205.451	618.255	2119.309	192.819	625.283	2193.342	191.466	567.822	2102.612	207.160	602.760	2158.889	233.099	10.528	374.880	48.747	574.428	10.293	48.698	209.472	10.288	48.864	9.873	9.796	48.860
3525	35.24000	547.263	2193.430	205.379	618.201	2119.317	192.722	625.310	2193.316	191.458	567.735	2102.542	207.149	602.761	2158.934	233.072	10.506	375.009	48.781	574.437	10.226	48.620	209.501	10.308	48.869	9.833	9.816	48.854
3526	35.25000	547.303	2193.433	205.391	618.211	2119.314	192.762	625.354	2193.345	191.419	567.815	2102.658	207.124	602.769	2158.912	233.130	10.520	374.867	48.732	574.457	10.242	48.700	209.471	10.293	48.870	9.852	9.828	48.803
3527	35.26000	547.309	2193.406	205.395	618.176	2119.300	192.784	625.265	2193.334	191.410	567.804	2102.646	207.109	602.708	2158.858	233.012	10.514	374.909	48.776	574.415	10.267	48.699	209.513	10.308	48.880	9.861	9.837	48.809
3528	35.27000	547.303	2193.433	205.434	618.245	2119.318	192.817	625.327	2193.308	191.440	567.813	2102.632	207.142	602.787	2158.884	233.156	10.515	374.898	48.789	574.458	10.271	48.736	209.464	10.304	48.927	9.867	9.821	48.832
3529	35.28000	547.280	2193.440	205.427	618.204	2119.266	192.797	625.316	2193.318	191.476	567.792	2102.639	207.157	602.756	2158.880	233.107	10.504	374.870	48.841	574.456	10.288	48.737	209.467	10.304	48.945	9.872	9.892	48.879
3530	35.29000	547.287	2193.461	205.406	618.215	2119.261	192.816	625.337	2193.320	191.491	567.779	2102.665	207.157	602.740	2158.908	233.139	10.518	374.892	48.750	574.416	10.294	48.730	209.452	10.294	48.884	9.900	9.801	48.852
3531	35.30000	547.315	2193.441	205.446	618.231	2119.244	192.804	625.342	2193.240	191.430	567.773	2102.628	207.140	602.769	2158.901	233.110	10.522	374.920	48.759	574.355	10.264	48.709	209.454	10.364	48.916	9.861	9.843	48.853
3532	35.31000	547.302	2193.401	205.362	618.247	2119.280	192.799	625.329	2193.288	191.429	567.845	2102.629	207.216	602.757	2158.868	233.095	10.529	374.915	48.737	574.302	10.262	48.711	209.443	10.328	48.853	9.873	9.856	48.821
3533	35.32000	547.277	2193.408	205.412	618.213	2119.283	192.777	625.320	2193.235	191.377	567.806	2102.629	207.202	602.733	2158.878	233.036	10.508	374.922	48.788	574.345	10.291	48.710	209.489	10.333	48.898	9.891	9.854	48.824
