NO_OF_FRAMES	1617
NO_OF_CAMERAS	8
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-08-11, 15:26:18.257	1141584.09130630
DATA_INCLUDED	3D
MARKER_NAMES	Drone - 1	Drone - 2	Drone - 3	Drone - 4	Drone - 5
TRAJECTORY_TYPES	Mixed	Mixed	Measured	Mixed	Measured
Frame	Time	Drone - 1 X	Drone - 1 Y	Drone - 1 Z	Drone - 2 X	Drone - 2 Y	Drone - 2 Z	Drone - 3 X	Drone - 3 Y	Drone - 3 Z	Drone - 4 X	Drone - 4 Y	Drone - 4 Z	Drone - 5 X	Drone - 5 Y	Drone - 5 Z	
757	7.56000	-99.043	31.367	1189.573	-154.067	81.955	1194.570	-50.706	92.760	1197.542	-115.838	135.881	1204.466	-109.493	69.095	1232.180
758	7.57000	-98.674	31.533	1189.227	-153.664	82.133	1194.281	-50.268	92.840	1197.222	-115.372	136.023	1204.345	-109.161	69.104	1231.913
759	7.58000	-98.257	31.727	1188.861	-153.121	82.224	1194.073	-49.689	92.909	1197.099	-114.816	136.030	1204.099	-108.656	69.172	1231.638
760	7.59000	-97.717	31.846	1188.428	-152.528	82.645	1193.783	-49.062	93.051	1196.967	-114.122	136.349	1204.080	-108.048	69.186	1231.314
761	7.60000	-97.039	32.041	1188.052	-151.877	82.802	1193.650	-48.482	93.118	1196.990	-113.268	136.522	1204.064	-107.327	69.296	1231.124
762	7.61000	-96.339	32.238	1187.552	-151.035	83.025	1193.530	-47.571	93.165	1196.850	-112.342	136.739	1204.111	-106.466	69.427	1230.735
763	7.62000	-95.496	32.467	1187.158	-150.065	83.386	1193.395	-46.402	93.416	1196.460	-111.222	136.976	1203.993	-105.552	69.569	1230.534
764	7.63000	-94.601	32.803	1186.938	-148.979	83.811	1193.280	-45.337	93.515	1196.202	-109.949	137.395	1204.079	-104.372	69.744	1230.155
765	7.64000	-93.709	33.024	1186.872	-147.810	84.223	1193.160	-44.096	93.789	1195.995	-108.603	137.752	1204.099	-103.205	69.997	1229.931
766	7.65000	-92.588	33.463	1186.357	-146.416	85.056	1192.934	-42.878	94.024	1195.695	-107.252	138.072	1204.111	-101.990	70.272	1229.769
767	7.66000	-91.578	33.841	1186.254	-145.340	85.418	1192.916	-41.492	94.249	1195.548	-105.798	138.465	1204.164	-100.748	70.655	1229.698
768	7.67000	-90.456	34.222	1185.806	-143.949	85.956	1192.863	-40.199	94.556	1195.435	-104.298	138.946	1204.222	-99.400	71.005	1229.632
769	7.68000	-89.374	34.899	1185.620	-142.601	86.923	1192.638	-38.817	94.815	1195.221	-102.769	139.501	1204.262	-98.116	71.505	1229.474
770	7.69000	-88.260	35.544	1185.433	-141.199	87.767	1192.570	-37.478	95.433	1195.174	-101.267	140.237	1204.392	-96.902	72.152	1229.420
771	7.70000	-87.163	36.250	1185.291	-139.862	88.798	1192.593	-36.121	95.912	1195.253	-99.576	141.255	1204.282	-95.532	72.849	1229.402
772	7.71000	-86.035	37.054	1185.227	-138.576	89.836	1192.640	-34.706	96.677	1195.220	-98.204	141.961	1204.552	-94.244	73.693	1229.403
773	7.72000	-84.967	37.934	1185.281	-137.163	90.910	1192.758	-33.337	97.435	1195.313	-96.635	142.828	1204.776	-92.807	74.640	1229.377
774	7.73000	-83.777	38.908	1185.417	-135.916	91.948	1193.034	-31.922	98.184	1195.422	-95.156	143.893	1204.889	-91.599	75.662	1229.546
775	7.74000	-82.641	40.018	1185.627	-134.376	93.317	1193.066	-30.562	99.242	1195.587	-93.588	145.024	1205.204	-90.261	76.683	1229.708
776	7.75000	-81.562	41.253	1185.866	-133.120	94.804	1193.365	-29.275	100.276	1195.827	-92.112	146.239	1205.425	-88.978	77.969	1229.989
777	7.76000	-80.466	42.597	1186.194	-131.873	96.197	1193.657	-28.005	101.444	1196.158	-90.666	147.603	1205.790	-87.790	79.263	1230.339
778	7.77000	-79.387	43.948	1186.489	-130.651	97.745	1194.077	-26.811	102.722	1196.686	-89.445	149.516	1206.172	-86.629	80.749	1230.592
779	7.78000	-78.412	45.325	1186.939	-129.685	99.069	1194.487	-25.663	104.108	1197.186	-88.250	150.958	1206.462	-85.567	82.308	1230.867
780	7.79000	-77.340	46.945	1187.385	-128.596	100.878	1194.839	-24.664	105.520	1197.838	-86.975	152.238	1206.833	-84.511	84.004	1231.320
