NO_OF_FRAMES	5019
NO_OF_CAMERAS	12
NO_OF_BODIES	2
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-03-02, 12:21:16.174	703881.88170780
DATA_INCLUDED	6D
BODY_NAMES	Drone	Origin
BODY_FILTERS	No filter	No filter
TRANSLATION_ORIGIN	Global	Global	
ROTATION_ORIGIN	Global	Global	
Frame	Time	Drone X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]		Origin X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
982	9.81000	1087.71452	3864.74417	200.76707	0.64481	0.09325	-0.54123	1.36123	0.99995	-0.00943	-0.00173	0.00945	0.99989	0.01124	0.00163	-0.01125	0.99994		201.18671	101.27420	48.98249	-0.00000	0.00000	0.00000	0.01952	1.00000	0.00000	-0.00000	-0.00000	1.00000	-0.00000	0.00000	0.00000	1.00000	
983	9.82000	1087.55116	3864.75888	200.85057	0.61402	0.28295	-0.47779	1.30533	0.99995	-0.00829	-0.00503	0.00834	0.99991	0.01067	0.00494	-0.01072	0.99993		201.16914	101.26489	48.98573	0.00144	-0.00033	0.00105	0.02560	1.00000	0.00002	0.00001	-0.00002	1.00000	0.00003	-0.00001	-0.00003	1.00000	
984	9.83000	1087.34869	3864.73325	200.76348	0.62619	0.19235	-0.57400	1.36376	0.99994	-0.00998	-0.00347	0.01002	0.99989	0.01089	0.00336	-0.01093	0.99993		201.17611	101.25000	48.97266	0.01148	-0.00120	0.00082	0.02127	1.00000	0.00001	0.00002	-0.00001	1.00000	0.00020	-0.00002	-0.00020	1.00000	
985	9.84000	1087.05346	3864.73060	200.81130	0.96042	-0.22643	-0.26634	1.00784	0.99998	-0.00471	0.00387	0.00465	0.99985	0.01678	-0.00395	-0.01676	0.99985		201.16426	101.26337	48.92838	0.01005	0.00049	0.00401	0.03524	1.00000	0.00007	-0.00001	-0.00007	1.00000	0.00018	0.00001	-0.00018	1.00000	
986	9.85000	1087.21063	3864.75944	200.62296	0.72253	0.09408	-0.47840	1.37026	0.99996	-0.00833	-0.00175	0.00835	0.99989	0.01260	0.00164	-0.01261	0.99992		201.16269	101.25085	48.93571	0.01350	0.00048	0.00383	0.03848	1.00000	0.00007	-0.00001	-0.00007	1.00000	0.00024	0.00001	-0.00024	1.00000	
987	9.86000	1087.31770	3864.88326	200.71260	0.57835	0.24439	-0.58366	1.44819	0.99994	-0.01014	-0.00437	0.01019	0.99990	0.01005	0.00427	-0.01009	0.99994		201.13719	101.26128	48.92668	0.00942	-0.00252	0.00051	0.03314	1.00000	0.00001	0.00004	-0.00001	1.00000	0.00016	-0.00004	-0.00016	1.00000	
988	9.87000	1087.33639	3864.89956	200.84584	0.49598	0.28057	-0.53358	1.44534	0.99994	-0.00927	-0.00498	0.00931	0.99992	0.00861	0.00490	-0.00866	0.99995		201.17193	101.26288	48.97803	0.01491	-0.00109	0.00309	0.02285	1.00000	0.00005	0.00002	-0.00005	1.00000	0.00026	-0.00002	-0.00026	1.00000	
989	9.88000	1087.32167	3864.82375	200.92799	0.74289	0.22442	-0.43126	1.33143	0.99996	-0.00748	-0.00401	0.00753	0.99989	0.01294	0.00392	-0.01297	0.99991		201.15565	101.25981	48.95404	0.01218	0.00244	0.00272	0.02494	1.00000	0.00005	-0.00004	-0.00005	1.00000	0.00021	0.00004	-0.00021	1.00000	
990	9.89000	1087.19682	3864.82538	200.89453	0.73529	-0.04253	-0.50016	1.40453	0.99996	-0.00874	0.00063	0.00873	0.99988	0.01284	-0.00074	-0.01283	0.99992		201.16184	101.25373	48.95866	0.01381	0.00233	0.00620	0.03175	1.00000	0.00011	-0.00004	-0.00011	1.00000	0.00024	0.00004	-0.00024	1.00000	
991	9.90000	1087.04494	3864.87619	200.91411	0.65892	0.01282	-0.44414	1.33411	0.99997	-0.00775	-0.00031	0.00775	0.99990	0.01150	0.00022	-0.01150	0.99993		201.16266	101.26385	48.96266	0.01025	-0.00162	0.00378	0.03182	1.00000	0.00007	0.00003	-0.00007	1.00000	0.00018	-0.00003	-0.00018	1.00000	
992	9.91000	1087.05446	3864.89563	200.88826	0.61721	0.21634	-0.53639	1.36160	0.99995	-0.00932	-0.00388	0.00936	0.99990	0.01074	0.00378	-0.01077	0.99993		201.14313	101.28028	48.97950	0.00488	0.00135	0.00640	0.02852	1.00000	0.00011	-0.00002	-0.00011	1.00000	0.00009	0.00002	-0.00009	1.00000	
993	9.92000	1087.03551	3864.85686	200.82879	0.63734	0.31645	-0.50399	1.37365	0.99995	-0.00873	-0.00562	0.00880	0.99990	0.01107	0.00552	-0.01112	0.99992		201.15881	101.27577	48.96773	0.01857	-0.00513	-0.00052	0.03293	1.00000	-0.00001	0.00009	0.00001	1.00000	0.00032	-0.00009	-0.00032	1.00000	
994	9.93000	1086.93008	3864.85560	200.75714	0.78162	0.15238	-0.48960	1.32991	0.99996	-0.00851	-0.00278	0.00855	0.99987	0.01362	0.00266	-0.01364	0.99990		201.15139	101.27102	48.95711	0.01621	-0.00017	-0.00031	0.03560	1.00000	-0.00001	0.00000	0.00001	1.00000	0.00028	-0.00000	-0.00028	1.00000	
995	9.94000	1086.81997	3864.88347	200.82622	0.70043	0.12584	-0.53170	1.33335	0.99995	-0.00925	-0.00231	0.00928	0.99988	0.01220	0.00220	-0.01222	0.99992		201.16137	101.28482	48.95363	0.01295	-0.00824	0.00282	0.02744	1.00000	0.00005	0.00014	-0.00005	1.00000	0.00023	-0.00014	-0.00023	1.00000	
996	9.95000	1086.81229	3865.01975	200.96800	0.53800	0.17210	-0.54392	1.31513	0.99995	-0.00946	-0.00309	0.00949	0.99991	0.00936	0.00300	-0.00939	0.99995		201.16199	101.24021	48.95042	0.00935	0.00485	0.00476	0.02699	1.00000	0.00008	-0.00008	-0.00008	1.00000	0.00016	0.00008	-0.00016	1.00000	
