NO_OF_FRAMES	5019
NO_OF_CAMERAS	12
NO_OF_MARKERS	9
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-03-02, 12:21:16.174	703881.88170780
DATA_INCLUDED	3D
MARKER_NAMES	Drone - 1	Drone - 2	Drone - 3	Drone - 4	Drone - 5	Origin - 1	Origin - 2	Origin - 3	Origin - 4
TRAJECTORY_TYPES	Mixed	Mixed	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured
Frame	Time	Drone - 1 X	Drone - 1 Y	Drone - 1 Z	Drone - 2 X	Drone - 2 Y	Drone - 2 Z	Drone - 3 X	Drone - 3 Y	Drone - 3 Z	Drone - 4 X	Drone - 4 Y	Drone - 4 Z	Drone - 5 X	Drone - 5 Y	Drone - 5 Z	Origin - 1 X	Origin - 1 Y	Origin - 1 Z	Origin - 2 X	Origin - 2 Y	Origin - 2 Z	Origin - 3 X	Origin - 3 Y	Origin - 3 Z	Origin - 4 X	Origin - 4 Y	Origin - 4 Z	
1003	10.02000	1032.535	3892.491	200.384	1074.330	3809.801	202.554	1118.855	3838.288	188.628	1109.964	3911.753	184.798	1095.818	3872.922	227.797	209.483	10.264	49.050	10.664	375.023	48.909	9.981	9.881	48.990	574.499	9.979	48.959
1004	10.03000	1032.531	3892.517	200.375	1074.133	3809.941	202.766	1118.661	3838.327	188.483	1110.198	3911.754	184.447	1095.778	3873.029	227.701	209.507	10.211	49.068	10.619	374.933	48.873	9.998	9.843	48.963	574.497	9.998	48.971
1005	10.04000	1032.510	3892.635	200.526	1074.320	3809.993	202.910	1118.661	3838.383	188.565	1110.094	3911.881	184.399	1095.657	3872.997	227.734	209.526	10.228	49.021	10.624	374.916	48.825	10.001	9.816	48.977	574.483	9.940	48.957
1006	10.05000	1032.606	3892.635	200.477	1074.297	3809.956	202.659	1118.820	3838.390	188.589	1109.884	3911.867	184.866	1095.557	3872.889	227.967	209.473	10.210	49.016	10.613	374.931	48.841	9.959	9.838	48.937	574.495	9.948	48.943
1007	10.06000	1032.479	3892.587	200.430	1074.220	3809.918	202.807	1118.888	3838.382	188.845	1110.190	3911.939	184.946	1095.579	3873.154	227.955	209.495	10.266	49.007	10.633	374.981	48.914	10.010	9.895	48.976	574.469	10.001	48.949
1008	10.07000	1032.212	3892.643	200.963	1074.417	3810.064	203.119	1118.892	3838.461	189.000	1110.252	3911.936	184.854	1095.600	3873.258	228.192	209.491	10.232	49.033	10.654	374.998	48.897	9.986	9.857	48.945	574.477	9.997	48.989
1009	10.08000	1032.632	3892.868	200.968	1074.617	3810.020	203.249	1118.952	3838.430	188.858	1109.906	3911.931	184.975	1095.768	3873.284	228.170	209.520	10.276	49.092	10.615	374.993	48.951	10.025	9.922	49.019	574.475	9.987	49.016
1010	10.09000	1032.295	3892.721	200.984	1074.295	3809.992	203.050	1119.173	3838.513	188.809	1108.907	3911.868	185.654	1095.771	3873.271	228.020	209.528	10.269	49.060	10.632	374.970	48.922	9.986	9.868	48.997	574.495	10.004	49.006
1011	10.10000	1032.429	3892.579	200.450	1073.932	3809.986	202.714	1118.548	3838.399	188.629	1110.298	3912.022	184.335	1095.410	3872.998	227.928	209.475	10.196	49.062	10.621	374.957	48.841	10.004	9.842	48.981	574.488	9.961	48.971
1012	10.11000	1032.426	3892.768	200.123	1073.606	3810.047	202.554	1118.309	3838.421	188.534	1109.644	3911.951	184.673	1095.242	3873.004	227.747	209.524	10.206	49.051	10.620	374.948	48.895	9.965	9.840	48.941	574.449	9.952	48.925
1013	10.12000	1032.258	3892.723	200.055	1073.270	3810.136	202.666	1118.075	3838.474	188.549	1109.099	3911.918	184.699	1095.270	3873.392	227.662	209.494	10.186	49.017	10.619	374.911	48.830	10.000	9.825	48.935	574.480	9.943	48.925
1014	10.13000	1032.234	3892.791	200.255	1073.385	3810.077	202.636	1118.065	3838.377	188.468	1108.968	3911.923	184.862	1095.159	3873.113	227.656	209.500	10.219	49.057	10.608	374.927	48.844	9.982	9.816	48.952	574.451	9.950	48.974
1015	10.14000	1032.002	3892.670	200.906	1073.729	3810.030	202.797	1118.343	3838.465	188.623	1109.654	3912.056	184.649	1095.267	3872.986	227.905	209.478	10.249	49.081	10.614	374.958	48.909	9.982	9.873	49.016	574.488	9.986	49.014
