NO_OF_FRAMES	1863
NO_OF_CAMERAS	8
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-08-12, 11:28:35.207	1213728.58984590
DATA_INCLUDED	3D
MARKER_NAMES	Drone - 1	Drone - 2	Drone - 3	Drone - 4	Drone - 5
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured
Frame	Time	Drone - 1 X	Drone - 1 Y	Drone - 1 Z	Drone - 2 X	Drone - 2 Y	Drone - 2 Z	Drone - 3 X	Drone - 3 Y	Drone - 3 Z	Drone - 4 X	Drone - 4 Y	Drone - 4 Z	Drone - 5 X	Drone - 5 Y	Drone - 5 Z	
3605	36.04000	-227.854	-727.658	975.322	-267.476	-664.656	977.066	-165.457	-680.001	989.539	-216.582	-622.546	990.884	-230.777	-688.338	1017.778
3606	36.05000	-227.543	-727.824	975.269	-267.255	-664.824	977.207	-165.264	-680.206	989.416	-216.331	-622.708	991.015	-230.637	-688.478	1017.750
3607	36.06000	-227.316	-728.029	975.349	-267.041	-664.909	977.235	-165.070	-680.410	989.543	-216.124	-622.978	991.057	-230.270	-688.842	1017.748
3608	36.07000	-227.073	-728.296	975.392	-266.726	-665.187	977.189	-165.049	-680.480	989.879	-215.697	-623.182	991.032	-229.799	-688.997	1017.710
3609	36.08000	-226.839	-728.327	975.559	-266.405	-665.466	977.289	-164.718	-680.689	989.947	-215.440	-623.225	990.903	-229.720	-688.976	1017.856
3610	36.09000	-226.545	-728.547	975.556	-266.168	-665.657	977.093	-164.279	-680.797	989.574	-215.329	-623.418	990.878	-229.340	-689.103	1017.797
3611	36.10000	-226.209	-728.705	975.523	-265.916	-665.954	977.004	-163.957	-681.078	989.489	-215.135	-623.621	990.929	-229.435	-689.324	1017.750
3612	36.11000	-226.046	-728.997	975.450	-265.725	-666.103	977.041	-163.782	-681.309	989.519	-214.928	-623.857	990.870	-229.162	-689.584	1017.713
3613	36.12000	-225.906	-729.138	975.531	-265.429	-666.379	976.972	-163.690	-681.523	989.732	-214.592	-624.128	990.858	-228.686	-689.789	1017.699
3614	36.13000	-225.588	-729.363	975.587	-265.200	-666.653	977.042	-163.415	-681.787	989.756	-214.350	-624.185	990.350	-228.683	-689.804	1017.711
3615	36.14000	-225.334	-729.608	975.561	-264.963	-666.804	976.890	-163.054	-682.224	989.601	-214.184	-624.468	990.373	-228.435	-690.113	1017.530
3616	36.15000	-225.058	-729.889	975.464	-264.716	-667.100	976.800	-162.851	-682.452	989.621	-213.933	-624.802	990.633	-228.188	-690.634	1017.474
3617	36.16000	-224.870	-730.246	975.461	-264.526	-667.394	976.822	-162.609	-682.745	989.614	-213.842	-625.146	990.504	-227.930	-691.026	1017.487
3618	36.17000	-224.655	-730.573	975.547	-264.272	-667.750	976.752	-162.417	-683.046	989.499	-213.480	-625.472	990.362	-227.765	-691.238	1017.460
3619	36.18000	-224.427	-730.884	975.547	-264.081	-668.010	976.576	-162.237	-683.266	989.678	-213.218	-625.668	990.127	-227.516	-691.269	1017.424
3620	36.19000	-224.167	-731.151	975.559	-263.879	-668.338	976.596	-162.087	-683.517	989.549	-213.091	-625.919	990.099	-227.350	-691.644	1017.417
3621	36.20000	-224.001	-731.592	975.411	-263.717	-668.728	976.627	-161.866	-683.991	989.578	-212.898	-626.424	990.282	-227.236	-692.121	1017.369
3622	36.21000	-223.835	-731.934	975.373	-263.529	-669.166	976.611	-161.693	-684.333	989.553	-212.637	-626.785	990.275	-227.034	-692.413	1017.338
3623	36.22000	-223.602	-732.245	975.541	-263.289	-669.562	976.548	-161.515	-684.469	989.583	-212.504	-626.998	989.773	-226.879	-692.737	1017.339
3624	36.23000	-223.427	-732.552	975.526	-263.134	-669.880	976.284	-161.210	-684.868	989.348	-212.373	-627.341	989.658	-226.718	-692.921	1017.290
3625	36.24000	-223.208	-732.986	975.411	-262.971	-670.264	976.258	-160.997	-685.398	989.280	-212.154	-627.817	989.613	-226.689	-693.326	1017.220
3626	36.25000	-223.070	-733.371	975.342	-262.805	-670.512	976.309	-160.928	-685.636	989.366	-212.055	-628.142	989.883	-226.458	-693.930	1017.228
3627	36.26000	-222.921	-733.723	975.287	-262.657	-670.820	976.165	-160.984	-685.999	989.436	-211.814	-628.660	989.892	-226.029	-694.268	1017.121
3628	36.27000	-222.684	-734.140	975.360	-262.483	-671.301	976.239	-160.695	-686.386	989.310	-211.708	-628.881	989.677	-226.012	-694.573	1017.150
3629	36.28000	-222.580	-734.520	975.333	-262.303	-671.543	975.844	-160.432	-686.742	989.120	-211.631	-629.308	989.555	-225.895	-694.891	1017.079
3630	36.29000	-222.419	-734.918	975.289	-262.161	-672.069	975.660	-160.333	-687.099	989.082	-211.455	-629.664	989.475	-225.928	-695.228	1016.992
3631	36.30000	-222.382	-735.342	975.194	-262.009	-672.486	975.798	-160.332	-687.438	989.116	-211.264	-630.018	989.480	-225.780	-695.682	1017.019
3632	36.31000	-222.248	-735.651	975.119	-261.949	-672.891	975.720	-160.252	-687.840	989.131	-211.199	-630.470	989.443	-225.361	-696.153	1016.909
3633	36.32000	-222.083	-736.085	975.134	-261.857	-673.372	975.599	-160.103	-688.242	988.999	-211.152	-630.799	989.395	-225.483	-696.374	1016.881
3634	36.33000	-222.060	-736.413	975.111	-261.731	-673.670	975.485	-159.963	-688.647	988.917	-211.068	-631.226	989.367	-225.396	-696.788	1016.845
3635	36.34000	-221.886	-736.842	975.038	-261.661	-674.029	975.430	-159.849	-689.083	988.901	-210.967	-631.744	989.399	-225.284	-697.421	1016.734
3636	36.35000	-221.801	-737.280	974.909	-261.562	-674.438	975.305	-159.729	-689.390	988.830	-210.957	-631.989	989.343	-225.231	-697.715	1016.723
3637	36.36000	-221.767	-737.630	975.001	-261.477	-674.649	975.249	-159.696	-689.738	988.808	-210.773	-632.416	989.277	-225.067	-698.028	1016.633
3638	36.37000	-221.574	-738.000	975.012	-261.363	-675.188	975.173	-159.598	-689.977	988.809	-210.750	-632.597	989.121	-225.020	-698.250	1016.539
3639	36.38000	-221.518	-738.358	974.922	-261.320	-675.592	975.243	-159.556	-690.323	988.742	-210.759	-633.106	989.122	-225.010	-698.657	1016.462
3640	36.39000	-221.570	-738.713	974.605	-261.310	-675.960	975.172	-159.676	-690.731	988.851	-210.705	-633.454	989.229	-224.887	-699.082	1016.384
3641	36.40000	-221.468	-739.129	974.574	-261.248	-676.310	975.111	-159.639	-691.090	988.760	-210.626	-633.800	989.036	-224.783	-699.410	1016.322
