NO_OF_FRAMES	1617
NO_OF_CAMERAS	8
NO_OF_BODIES	1
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-08-11, 15:26:18.257	1141584.09130630
DATA_INCLUDED	6D
BODY_NAMES	Drone
BODY_FILTERS	No filter
TRANSLATION_ORIGIN	Global	
ROTATION_ORIGIN	Global	
Frame	Time	Drone X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
751	7.50000	-106.20315	81.49888	1206.36421	-1.09191	5.94112	7.13857	0.64574	0.98692	0.12229	-0.10505	-0.12360	0.99231	-0.00605	0.10351	0.01895	0.99445	
752	7.51000	-106.28051	81.51386	1205.72181	-0.82897	5.78467	7.08972	0.70601	0.98730	0.12196	-0.10179	-0.12279	0.99243	-0.00192	0.10079	0.01439	0.99480	
753	7.52000	-106.30137	81.62965	1205.24255	-0.87690	5.80472	7.13326	0.67457	0.98717	0.12263	-0.10224	-0.12354	0.99234	-0.00263	0.10114	0.01523	0.99476	
754	7.53000	-106.43239	81.71968	1204.73211	-0.61679	5.67670	7.11861	0.64787	0.98743	0.12286	-0.09948	-0.12332	0.99237	0.00158	0.09892	0.01071	0.99504	
755	7.54000	-106.28043	81.90913	1204.33531	-0.55601	5.49764	7.05807	0.63670	0.98786	0.12195	-0.09627	-0.12231	0.99249	0.00214	0.09580	0.00966	0.99535	
756	7.55000	-106.20488	81.97683	1204.01088	-0.34948	5.38804	7.01238	0.65015	0.98813	0.12151	-0.09394	-0.12154	0.99257	0.00541	0.09390	0.00607	0.99556	
757	7.56000	-105.82953	82.21184	1203.66631	-0.38743	5.21671	6.91496	0.66015	0.98861	0.11978	-0.09107	-0.11990	0.99278	0.00423	0.09092	0.00673	0.99584	
758	7.57000	-105.42779	82.32668	1203.39784	-0.25385	5.22866	6.85896	0.68751	0.98871	0.11902	-0.09101	-0.11893	0.99288	0.00648	0.09113	0.00441	0.99583	
759	7.58000	-104.90774	82.41233	1203.15404	-0.16535	5.19219	6.81731	0.66838	0.98886	0.11844	-0.09020	-0.11822	0.99296	0.00788	0.09050	0.00287	0.99589	
760	7.59000	-104.29511	82.61567	1202.91430	0.09316	5.14071	6.69586	0.68236	0.98918	0.11674	-0.08880	-0.11613	0.99316	0.01206	0.08960	-0.00162	0.99598	
761	7.60000	-103.59858	82.75599	1202.77572	0.28867	5.09666	6.62820	0.64169	0.98939	0.11587	-0.08766	-0.11497	0.99325	0.01526	0.08884	-0.00502	0.99603	
762	7.61000	-102.75031	82.91897	1202.55581	0.57197	5.13620	6.51624	0.58972	0.98955	0.11437	-0.08781	-0.11303	0.99339	0.02008	0.08952	-0.00994	0.99594	
763	7.62000	-101.74750	83.16293	1202.30802	0.71332	5.25404	6.40533	0.60845	0.98958	0.11269	-0.08960	-0.11109	0.99355	0.02259	0.09157	-0.01240	0.99572	
764	7.63000	-100.64759	83.45341	1202.13088	0.91081	5.36624	6.22313	0.61460	0.98975	0.10986	-0.09124	-0.10793	0.99382	0.02594	0.09352	-0.01583	0.99549	
765	7.64000	-99.48451	83.75692	1202.01109	0.97576	5.43417	6.06073	0.62779	0.98994	0.10717	-0.09236	-0.10511	0.99410	0.02693	0.09470	-0.01695	0.99536	
766	7.65000	-98.22455	84.17761	1201.77291	1.27221	5.47872	5.85140	0.65514	0.99025	0.10403	-0.09269	-0.10148	0.99433	0.03182	0.09548	-0.02210	0.99519	
767	7.66000	-96.99120	84.52575	1201.71615	1.34159	5.57180	5.68706	0.64958	0.99038	0.10133	-0.09427	-0.09863	0.99458	0.03292	0.09709	-0.02330	0.99500	
768	7.67000	-95.66045	84.93690	1201.59167	1.58428	5.63783	5.52445	0.61897	0.99054	0.09894	-0.09508	-0.09580	0.99471	0.03697	0.09824	-0.02751	0.99478	
769	7.68000	-94.33547	85.52872	1201.44315	1.75895	5.64009	5.21732	0.67175	0.99104	0.09389	-0.09503	-0.09049	0.99511	0.03950	0.09828	-0.03055	0.99469	
770	7.69000	-93.02113	86.22656	1201.39788	1.92792	5.62736	5.04300	0.66659	0.99133	0.09114	-0.09467	-0.08748	0.99528	0.04213	0.09806	-0.03348	0.99462	
771	7.70000	-91.65070	87.01276	1201.36426	1.98938	5.60950	4.72715	0.66712	0.99183	0.08574	-0.09450	-0.08202	0.99572	0.04265	0.09775	-0.03455	0.99461	
772	7.71000	-90.35301	87.84421	1201.40820	2.15673	5.66385	4.59047	0.67016	0.99193	0.08368	-0.09529	-0.07964	0.99579	0.04541	0.09869	-0.03745	0.99441	
773	7.72000	-88.98169	88.74943	1201.50093	2.26006	5.71372	4.37766	0.64863	0.99213	0.08019	-0.09618	-0.07595	0.99601	0.04691	0.09956	-0.03924	0.99426	
774	7.73000	-87.67405	89.71890	1201.66161	2.24587	5.76115	4.20616	0.62709	0.99227	0.07721	-0.09716	-0.07298	0.99625	0.04644	0.10038	-0.03899	0.99418	
775	7.74000	-86.28567	90.85670	1201.83834	2.35054	5.70671	4.00853	0.67995	0.99261	0.07391	-0.09624	-0.06956	0.99643	0.04786	0.09944	-0.04081	0.99421	
776	7.75000	-85.00937	92.10829	1202.09456	2.36135	5.73992	3.78355	0.67608	0.99282	0.07004	-0.09699	-0.06566	0.99670	0.04771	0.10001	-0.04100	0.99414	
777	7.76000	-83.75981	93.42096	1202.42762	2.39988	5.71780	3.62240	0.68268	0.99304	0.06729	-0.09670	-0.06287	0.99686	0.04808	0.09963	-0.04167	0.99415	
