NO_OF_FRAMES	2516
NO_OF_CAMERAS	12
NO_OF_BODIES	2
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-03-02, 12:43:11.835	705197.54193160
DATA_INCLUDED	6D
BODY_NAMES	Drone	Origin
BODY_FILTERS	No filter	No filter
TRANSLATION_ORIGIN	Global	Global	
ROTATION_ORIGIN	Global	Global	
Frame	Time	Drone X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]		Origin X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
3500	34.99000	589.71802	2152.72264	199.57993	24.68123	2.74899	-67.49541	2.80441	0.38232	-0.83179	-0.40245	0.92279	0.36629	0.11957	0.04796	-0.41709	0.90760		201.07369	101.32451	48.83302	-0.02779	0.02743	0.02875	0.07961	1.00000	0.00050	-0.00048	-0.00050	1.00000	-0.00048	0.00048	0.00048	1.00000	
3501	35.00000	589.70276	2152.73803	199.62191	24.72758	2.74117	-67.50970	2.81771	0.38209	-0.83157	-0.40311	0.92289	0.36594	0.11988	0.04782	-0.41783	0.90727		201.07548	101.36055	48.84556	-0.01342	0.02518	0.02707	0.07908	1.00000	0.00047	-0.00044	-0.00047	1.00000	-0.00023	0.00044	0.00023	1.00000	
3502	35.01000	589.69571	2152.72746	199.61243	24.71787	2.76879	-67.51227	2.80542	0.38204	-0.83158	-0.40314	0.92288	0.36610	0.11939	0.04831	-0.41766	0.90732		201.05430	101.35458	48.82890	-0.01735	0.02570	0.02718	0.07225	1.00000	0.00047	-0.00045	-0.00047	1.00000	-0.00030	0.00045	0.00030	1.00000	
3503	35.02000	589.68621	2152.73552	199.61598	24.73203	2.73174	-67.51491	2.81670	0.38201	-0.83160	-0.40312	0.92293	0.36579	0.12001	0.04766	-0.41790	0.90724		201.06932	101.32807	48.82284	-0.02192	0.02334	0.02955	0.08791	1.00000	0.00052	-0.00041	-0.00052	1.00000	-0.00038	0.00041	0.00038	1.00000	
3504	35.03000	589.70385	2152.74044	199.59533	24.74147	2.75657	-67.52902	2.80999	0.38177	-0.83156	-0.40344	0.92300	0.36573	0.11960	0.04809	-0.41804	0.90715		201.07951	101.35302	48.82835	-0.01863	0.02312	0.02993	0.06871	1.00000	0.00052	-0.00040	-0.00052	1.00000	-0.00032	0.00040	0.00033	1.00000	
3505	35.04000	589.69010	2152.71671	199.62009	24.67340	2.70850	-67.51875	2.79165	0.38195	-0.83210	-0.40214	0.92297	0.36570	0.11995	0.04725	-0.41698	0.90769		201.07983	101.34774	48.81118	-0.01589	0.02198	0.01984	0.06985	1.00000	0.00035	-0.00038	-0.00035	1.00000	-0.00028	0.00038	0.00028	1.00000	
3506	35.05000	589.67325	2152.70467	199.56907	24.69906	2.72887	-67.51350	2.79954	0.38203	-0.83183	-0.40263	0.92292	0.36586	0.11985	0.04761	-0.41738	0.90748		201.08675	101.36111	48.83210	-0.02052	0.02073	0.02923	0.07660	1.00000	0.00051	-0.00036	-0.00051	1.00000	-0.00036	0.00036	0.00036	1.00000	
3507	35.06000	589.65599	2152.71426	199.57704	24.73322	2.72799	-67.53101	2.80804	0.38175	-0.83171	-0.40315	0.92304	0.36553	0.11996	0.04759	-0.41792	0.90724		201.03812	101.34865	48.79635	-0.02309	0.02860	0.02337	0.07007	1.00000	0.00041	-0.00050	-0.00041	1.00000	-0.00040	0.00050	0.00040	1.00000	
3508	35.07000	589.66964	2152.70094	199.54589	24.71470	2.70378	-67.54745	2.79144	0.38149	-0.83201	-0.40277	0.92317	0.36516	0.12008	0.04717	-0.41763	0.90739		201.05695	101.33158	48.79979	-0.01427	0.01751	0.02809	0.08522	1.00000	0.00049	-0.00031	-0.00049	1.00000	-0.00025	0.00031	0.00025	1.00000	
3509	35.08000	589.67336	2152.71583	199.58156	24.70974	2.73236	-67.55996	2.78242	0.38128	-0.83204	-0.40290	0.92323	0.36518	0.11954	0.04767	-0.41755	0.90740		201.06256	101.33920	48.78558	-0.01910	0.02190	0.02553	0.08389	1.00000	0.00045	-0.00038	-0.00045	1.00000	-0.00033	0.00038	0.00033	1.00000	
3510	35.09000	589.69512	2152.75087	199.62490	24.72340	2.75032	-67.57549	2.81527	0.38103	-0.83200	-0.40324	0.92332	0.36505	0.11925	0.04798	-0.41776	0.90729		201.07885	101.34062	48.80478	-0.00975	0.01822	0.02787	0.07659	1.00000	0.00049	-0.00032	-0.00049	1.00000	-0.00017	0.00032	0.00017	1.00000	
3511	35.10000	589.71603	2152.75945	199.63112	24.73133	2.72157	-67.55802	2.82061	0.38132	-0.83191	-0.40314	0.92322	0.36509	0.11985	0.04748	-0.41789	0.90726		201.08628	101.35770	48.83105	-0.01329	0.02439	0.02428	0.06052	1.00000	0.00042	-0.00043	-0.00042	1.00000	-0.00023	0.00043	0.00023	1.00000	
3512	35.11000	589.68990	2152.73031	199.57709	24.70914	2.71670	-67.56342	2.79534	0.38123	-0.83211	-0.40280	0.92326	0.36503	0.11974	0.04740	-0.41754	0.90742		201.03784	101.34037	48.81513	-0.02203	0.02147	0.02498	0.08437	1.00000	0.00044	-0.00037	-0.00044	1.00000	-0.00038	0.00037	0.00038	1.00000	
3513	35.12000	589.66866	2152.71959	199.56542	24.72026	2.71111	-67.54501	2.80800	0.38153	-0.83193	-0.40289	0.92315	0.36524	0.12002	0.04730	-0.41772	0.90734		201.05053	101.31013	48.80139	-0.00730	0.01417	0.02742	0.06792	1.00000	0.00048	-0.00025	-0.00048	1.00000	-0.00013	0.00025	0.00013	1.00000	
3514	35.13000	589.67527	2152.71564	199.56155	24.70212	2.71744	-67.55804	2.83403	0.38132	-0.83213	-0.40269	0.92323	0.36513	0.11972	0.04741	-0.41743	0.90747		201.08067	101.34308	48.81490	-0.01462	0.02135	0.02522	0.06939	1.00000	0.00044	-0.00037	-0.00044	1.00000	-0.00025	0.00037	0.00026	1.00000	
3515	35.14000	589.68595	2152.71044	199.55814	24.71136	2.72790	-67.55141	2.81365	0.38142	-0.83199	-0.40288	0.92318	0.36527	0.11967	0.04759	-0.41757	0.90740		201.08208	101.33725	48.81429	-0.01828	0.01943	0.02978	0.07683	1.00000	0.00052	-0.00034	-0.00052	1.00000	-0.00032	0.00034	0.00032	1.00000	
3516	35.15000	589.70389	2152.71325	199.57505	24.74681	2.74518	-67.53699	2.81824	0.38165	-0.83160	-0.40347	0.92307	0.36553	0.11975	0.04789	-0.41813	0.90712		201.05902	101.33389	48.83774	-0.00963	0.02465	0.02387	0.05621	1.00000	0.00042	-0.00043	-0.00042	1.00000	-0.00017	0.00043	0.00017	1.00000	
3517	35.16000	589.71237	2152.72476	199.59402	24.71929	2.76659	-67.55898	2.81736	0.38129	-0.83187	-0.40324	0.92320	0.36541	0.11911	0.04827	-0.41769	0.90731		201.09118	101.36833	48.82977	-0.01235	0.02325	0.02577	0.06555	1.00000	0.00045	-0.00041	-0.00045	1.00000	-0.00022	0.00041	0.00022	1.00000	
3518	35.17000	589.70830	2152.69499	199.57889	24.67560	2.79016	-67.54826	2.81123	0.38145	-0.83205	-0.40273	0.92311	0.36581	0.11856	0.04868	-0.41699	0.90761		201.08162	101.32663	48.80610	-0.01887	0.02243	0.02664	0.06447	1.00000	0.00046	-0.00039	-0.00046	1.00000	-0.00033	0.00039	0.00033	1.00000	
3519	35.18000	589.71908	2152.68053	199.60153	24.68541	2.73439	-67.50480	2.79700	0.38217	-0.83186	-0.40244	0.92286	0.36605	0.11974	0.04771	-0.41716	0.90758		201.07283	101.32813	48.81065	-0.01759	0.02205	0.02946	0.06847	1.00000	0.00051	-0.00038	-0.00051	1.00000	-0.00031	0.00038	0.00031	1.00000	
3520	35.19000	589.70889	2152.68419	199.59201	24.70470	2.77202	-67.51232	2.80675	0.38204	-0.83166	-0.40297	0.92288	0.36615	0.11926	0.04836	-0.41745	0.90741		201.07163	101.34132	48.80536	-0.01776	0.01823	0.02601	0.08148	1.00000	0.00045	-0.00032	-0.00045	1.00000	-0.00031	0.00032	0.00031	1.00000	
3521	35.20000	589.70418	2152.68781	199.56122	24.68055	2.75630	-67.49704	2.80212	0.38229	-0.83178	-0.40249	0.92279	0.36632	0.11944	0.04809	-0.41708	0.90760		201.09382	101.35634	48.81392	-0.01185	0.01990	0.02839	0.07186	1.00000	0.00050	-0.00035	-0.00050	1.00000	-0.00021	0.00035	0.00021	1.00000	
3522	35.21000	589.70697	2152.74041	199.60923	24.77012	2.74375	-67.51100	2.83395	0.38207	-0.83127	-0.40374	0.92289	0.36584	0.12010	0.04787	-0.41850	0.90696		201.07473	101.33611	48.81782	-0.02109	0.02635	0.02610	0.07619	1.00000	0.00046	-0.00046	-0.00046	1.00000	-0.00037	0.00046	0.00037	1.00000	
3523	35.22000	589.68439	2152.71684	199.57655	24.73134	2.76874	-67.54050	2.82231	0.38158	-0.83167	-0.40339	0.92307	0.36567	0.11928	0.04830	-0.41788	0.90722		201.06561	101.35443	48.79948	-0.01078	0.02144	0.02559	0.07922	1.00000	0.00045	-0.00037	-0.00045	1.00000	-0.00019	0.00037	0.00019	1.00000	
3524	35.23000	589.69218	2152.72803	199.57901	24.75445	2.75182	-67.52626	2.80547	0.38182	-0.83146	-0.40360	0.92299	0.36571	0.11978	0.04801	-0.41825	0.90706		201.07517	101.31407	48.79206	-0.01885	0.02343	0.02976	0.08590	1.00000	0.00052	-0.00041	-0.00052	1.00000	-0.00033	0.00041	0.00033	1.00000	
3525	35.24000	589.66820	2152.72560	199.53596	24.74827	2.73874	-67.55507	2.81123	0.38136	-0.83172	-0.40349	0.92319	0.36522	0.11973	0.04778	-0.41815	0.90712		201.06909	101.33979	48.78106	-0.01502	0.03142	0.02112	0.07938	1.00000	0.00037	-0.00055	-0.00037	1.00000	-0.00026	0.00055	0.00026	1.00000	
3526	35.25000	589.70607	2152.75100	199.54463	24.75130	2.72502	-67.55717	2.82024	0.38133	-0.83175	-0.40345	0.92322	0.36509	0.11993	0.04754	-0.41821	0.90711		201.07513	101.30768	48.77626	-0.01515	0.01825	0.02611	0.07437	1.00000	0.00046	-0.00032	-0.00046	1.00000	-0.00026	0.00032	0.00026	1.00000	
3527	35.26000	589.66681	2152.72721	199.52174	24.75476	2.73701	-67.55238	2.80876	0.38140	-0.83167	-0.40357	0.92317	0.36523	0.11981	0.04775	-0.41826	0.90707		201.07566	101.33026	48.79074	-0.00955	0.01913	0.02653	0.07379	1.00000	0.00046	-0.00033	-0.00046	1.00000	-0.00017	0.00033	0.00017	1.00000	
3528	35.27000	589.71013	2152.73328	199.57762	24.75233	2.73068	-67.55352	2.80312	0.38139	-0.83171	-0.40349	0.92319	0.36518	0.11988	0.04764	-0.41822	0.90709		201.07591	101.32344	48.82131	-0.01234	0.01801	0.02770	0.07332	1.00000	0.00048	-0.00031	-0.00048	1.00000	-0.00022	0.00031	0.00022	1.00000	
3529	35.28000	589.68469	2152.72804	199.57236	24.75643	2.72406	-67.56466	2.81930	0.38121	-0.83177	-0.40354	0.92327	0.36496	0.11992	0.04753	-0.41829	0.90707		201.07498	101.33863	48.85070	-0.01066	0.02245	0.02806	0.07541	1.00000	0.00049	-0.00039	-0.00049	1.00000	-0.00019	0.00039	0.00019	1.00000	
3530	35.29000	589.68992	2152.74175	199.57993	24.74691	2.68986	-67.56389	2.82261	0.38123	-0.83193	-0.40319	0.92329	0.36476	0.12037	0.04693	-0.41815	0.90717		201.07169	101.32016	48.80384	-0.01808	0.01967	0.02968	0.07931	1.00000	0.00052	-0.00034	-0.00052	1.00000	-0.00032	0.00034	0.00032	1.00000	
3531	35.30000	589.69913	2152.70956	199.56635	24.74353	2.72548	-67.59447	2.80719	0.38073	-0.83204	-0.40342	0.92346	0.36457	0.11961	0.04755	-0.41808	0.90716		201.04813	101.34763	48.80913	-0.01930	0.02261	0.02343	0.07287	1.00000	0.00041	-0.00039	-0.00041	1.00000	-0.00034	0.00039	0.00034	1.00000	
3532	35.31000	589.71148	2152.70499	199.56028	24.69860	2.73044	-67.54286	2.81375	0.38156	-0.83202	-0.40269	0.92312	0.36544	0.11962	0.04764	-0.41737	0.90749		201.03657	101.34023	48.78041	-0.01499	0.01833	0.02176	0.08529	1.00000	0.00038	-0.00032	-0.00038	1.00000	-0.00026	0.00032	0.00026	1.00000	
3533	35.32000	589.67997	2152.69938	199.54307	24.70262	2.76595	-67.57882	2.80123	0.38097	-0.83212	-0.40304	0.92333	0.36515	0.11887	0.04826	-0.41742	0.90743		201.05830	101.34990	48.80475	-0.01020	0.01959	0.02638	0.07534	1.00000	0.00046	-0.00034	-0.00046	1.00000	-0.00018	0.00034	0.00018	1.00000	
3534	35.33000	589.69662	2152.71904	199.54680	24.72058	2.79107	-67.59138	2.82752	0.38076	-0.83200	-0.40348	0.92339	0.36510	0.11853	0.04869	-0.41770	0.90728		201.06720	101.31597	48.81823	-0.00934	0.02521	0.02369	0.07250	1.00000	0.00041	-0.00044	-0.00041	1.00000	-0.00016	0.00044	0.00016	1.00000	
3535	35.34000	589.69895	2152.70632	199.57824	24.70522	2.74539	-67.52878	2.81405	0.38178	-0.83184	-0.40285	0.92301	0.36573	0.11954	0.04790	-0.41747	0.90743		201.09995	101.33845	48.82649	-0.01443	0.01626	0.02360	0.07047	1.00000	0.00041	-0.00028	-0.00041	1.00000	-0.00025	0.00028	0.00025	1.00000	
3536	35.35000	589.68686	2152.73634	199.59698	24.71989	2.72382	-67.52036	2.81224	0.38192	-0.83174	-0.40291	0.92297	0.36568	0.12001	0.04752	-0.41771	0.90734		201.08627	101.33740	48.81671	-0.01988	0.02196	0.02713	0.06690	1.00000	0.00047	-0.00038	-0.00047	1.00000	-0.00035	0.00038	0.00035	1.00000	
3537	35.36000	589.71824	2152.74941	199.59061	24.77260	2.76920	-67.54978	2.80644	0.38143	-0.83143	-0.40401	0.92313	0.36545	0.11947	0.04831	-0.41853	0.90692		201.08929	101.36135	48.82619	-0.00653	0.02045	0.02507	0.07594	1.00000	0.00044	-0.00036	-0.00044	1.00000	-0.00011	0.00036	0.00011	1.00000	
3538	35.37000	589.72421	2152.74566	199.55894	24.74763	2.77263	-67.52020	2.79064	0.38191	-0.83141	-0.40361	0.92293	0.36595	0.11947	0.04837	-0.41813	0.90710		201.04858	101.33424	48.80051	-0.01123	0.02001	0.02697	0.08758	1.00000	0.00047	-0.00035	-0.00047	1.00000	-0.00020	0.00035	0.00020	1.00000	
3539	35.38000	589.72017	2152.75253	199.56476	24.76039	2.74412	-67.50945	2.80745	0.38209	-0.83133	-0.40360	0.92288	0.36589	0.12005	0.04788	-0.41834	0.90703		201.06103	101.34122	48.82368	-0.01817	0.02186	0.02919	0.07418	1.00000	0.00051	-0.00038	-0.00051	1.00000	-0.00032	0.00038	0.00032	1.00000	
3540	35.39000	589.71614	2152.74644	199.60603	24.73376	2.77516	-67.50493	2.79999	0.38216	-0.83140	-0.40339	0.92283	0.36622	0.11945	0.04842	-0.41791	0.90720		201.07602	101.36365	48.80635	-0.01159	0.01741	0.02709	0.06849	1.00000	0.00047	-0.00030	-0.00047	1.00000	-0.00020	0.00030	0.00020	1.00000	
3541	35.40000	589.71231	2152.74438	199.59458	24.72059	2.76763	-67.53035	2.80118	0.38175	-0.83168	-0.40321	0.92300	0.36583	0.11930	0.04829	-0.41771	0.90730		201.07611	101.35463	48.83729	-0.02432	0.02200	0.02849	0.06863	1.00000	0.00050	-0.00038	-0.00050	1.00000	-0.00042	0.00038	0.00042	1.00000	
3542	35.41000	589.70063	2152.73360	199.57998	24.74846	2.74511	-67.50039	2.81245	0.38224	-0.83136	-0.40341	0.92282	0.36605	0.12002	0.04789	-0.41815	0.90711		201.09108	101.34360	48.81408	-0.01721	0.02094	0.02675	0.07849	1.00000	0.00047	-0.00037	-0.00047	1.00000	-0.00030	0.00037	0.00030	1.00000	
3543	35.42000	589.69427	2152.71806	199.58610	24.71395	2.75910	-67.51015	2.81734	0.38208	-0.83162	-0.40302	0.92288	0.36608	0.11952	0.04814	-0.41760	0.90735		201.08974	101.33745	48.82045	-0.02187	0.02047	0.02855	0.07648	1.00000	0.00050	-0.00036	-0.00050	1.00000	-0.00038	0.00036	0.00038	1.00000	
3544	35.43000	589.66781	2152.72741	199.56450	24.74583	2.73507	-67.49943	2.81892	0.38226	-0.83140	-0.40331	0.92282	0.36601	0.12016	0.04772	-0.41812	0.90714		201.05627	101.34240	48.78868	-0.02256	0.02369	0.02808	0.06111	1.00000	0.00049	-0.00041	-0.00049	1.00000	-0.00039	0.00041	0.00039	1.00000	
3545	35.44000	589.70310	2152.71619	199.55837	24.72198	2.73653	-67.50027	2.80657	0.38224	-0.83156	-0.40298	0.92283	0.36605	0.11998	0.04774	-0.41774	0.90731		201.05538	101.34239	48.77850	-0.02565	0.02272	0.02710	0.07964	1.00000	0.00047	-0.00040	-0.00047	1.00000	-0.00045	0.00040	0.00045	1.00000	
3546	35.45000	589.71007	2152.74496	199.58193	24.75330	2.72768	-67.49889	2.80761	0.38227	-0.83136	-0.40338	0.92283	0.36595	0.12032	0.04759	-0.41824	0.90709		201.07096	101.35880	48.78556	-0.02786	0.02275	0.02585	0.06710	1.00000	0.00045	-0.00040	-0.00045	1.00000	-0.00049	0.00040	0.00049	1.00000	
3547	35.46000	589.70336	2152.75211	199.62720	24.71271	2.76943	-67.53547	2.81174	0.38167	-0.83176	-0.40312	0.92304	0.36578	0.11919	0.04832	-0.41758	0.90735		201.07078	101.34820	48.81110	-0.01419	0.01914	0.02747	0.07500	1.00000	0.00048	-0.00033	-0.00048	1.00000	-0.00025	0.00033	0.00025	1.00000	
3548	35.47000	589.69389	2152.76440	199.63225	24.73702	2.76101	-67.55794	2.80369	0.38131	-0.83176	-0.40346	0.92319	0.36535	0.11931	0.04817	-0.41797	0.90718		201.08478	101.35905	48.84083	-0.01096	0.02065	0.02950	0.07789	1.00000	0.00051	-0.00036	-0.00051	1.00000	-0.00019	0.00036	0.00019	1.00000	
3549	35.48000	589.70501	2152.75603	199.66877	24.68935	2.70888	-67.50497	2.77954	0.38218	-0.83190	-0.40235	0.92288	0.36587	0.12014	0.04726	-0.41723	0.90757		201.07309	101.36259	48.85531	-0.00740	0.01979	0.02577	0.07458	1.00000	0.00045	-0.00035	-0.00045	1.00000	-0.00013	0.00035	0.00013	1.00000	
