NO_OF_FRAMES	6000
NO_OF_CAMERAS	8
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-08-12, 14:06:56.892	1223230.27508510
DATA_INCLUDED	3D
MARKER_NAMES	DroneElCapitan - 1	DroneElCapitan - 2	DroneElCapitan - 3	DroneElCapitan - 4	DroneElCapitan - 5
TRAJECTORY_TYPES	Mixed	Mixed	Mixed	Mixed	Mixed
Frame	Time	DroneElCapitan - 1 X	DroneElCapitan - 1 Y	DroneElCapitan - 1 Z	DroneElCapitan - 2 X	DroneElCapitan - 2 Y	DroneElCapitan - 2 Z	DroneElCapitan - 3 X	DroneElCapitan - 3 Y	DroneElCapitan - 3 Z	DroneElCapitan - 4 X	DroneElCapitan - 4 Y	DroneElCapitan - 4 Z	DroneElCapitan - 5 X	DroneElCapitan - 5 Y	DroneElCapitan - 5 Z	
39	0.38000	785.497	-377.406	68.096	37.705	467.858	67.563	810.699	402.560	73.986	743.257	-329.708	70.806	-5.760	-316.338	72.068
40	0.39000	785.466	-377.478	68.062	37.675	467.820	67.550	810.694	402.550	73.963	743.248	-329.717	70.800	-5.770	-316.336	71.994
41	0.40000	785.473	-377.415	68.044	37.667	467.780	67.542	810.667	402.529	73.946	743.266	-329.748	70.802	-5.782	-316.353	72.014
42	0.41000	785.486	-377.452	68.091	37.679	467.833	67.562	810.721	402.512	73.991	743.253	-329.652	70.819	-5.742	-316.328	72.072
43	0.42000	785.471	-377.439	68.081	37.696	467.784	67.526	810.659	402.558	74.013	743.237	-329.729	70.800	-5.751	-316.366	72.061
44	0.43000	785.473	-377.493	68.024	37.683	467.779	67.521	810.691	402.461	73.928	743.268	-329.721	70.784	-5.765	-316.397	72.015
45	0.44000	785.482	-377.477	68.029	37.655	467.776	67.517	810.711	402.518	73.952	743.200	-329.723	70.799	-5.782	-316.380	72.002
46	0.45000	785.482	-377.411	68.110	37.695	467.848	67.605	810.727	402.469	73.836	743.233	-329.657	70.835	-5.746	-316.345	72.065
47	0.46000	785.513	-377.432	68.086	37.665	467.833	67.519	810.684	402.553	73.914	743.228	-329.680	70.780	-5.761	-316.330	72.028
48	0.47000	785.476	-377.470	68.051	37.667	467.749	67.534	810.683	402.499	73.927	743.220	-329.752	70.734	-5.767	-316.336	72.022
49	0.48000	785.456	-377.409	68.102	37.693	467.841	67.555	810.697	402.549	73.978	743.259	-329.737	70.786	-5.774	-316.351	72.076
50	0.49000	785.500	-377.364	68.149	37.708	467.850	67.594	810.687	402.574	73.953	743.262	-329.696	70.808	-5.768	-316.311	72.111
51	0.50000	785.495	-377.437	68.100	37.673	467.856	67.559	810.674	402.502	73.973	743.246	-329.694	70.771	-5.755	-316.380	72.061
52	0.51000	785.489	-377.402	68.076	37.687	467.812	67.492	810.673	402.503	73.936	743.261	-329.702	70.811	-5.759	-316.380	72.010
53	0.52000	785.499	-377.419	68.066	37.661	467.813	67.500	810.660	402.571	73.926	743.246	-329.717	70.815	-5.760	-316.386	72.031
54	0.53000	785.474	-377.445	68.059	37.650	467.747	67.517	810.685	402.505	73.959	743.240	-329.735	70.710	-5.781	-316.389	71.982
55	0.54000	785.455	-377.443	68.031	37.673	467.725	67.486	810.683	402.509	73.933	743.242	-329.779	70.725	-5.780	-316.410	71.981
56	0.55000	785.454	-377.455	68.074	37.683	467.797	67.510	810.698	402.515	74.008	743.242	-329.738	70.818	-5.760	-316.368	72.029
57	0.56000	785.492	-377.361	68.131	37.661	467.885	67.594	810.673	402.590	74.009	743.239	-329.648	70.853	-5.763	-316.318	72.078
58	0.57000	785.509	-377.349	68.088	37.690	467.835	67.555	810.684	402.561	73.957	743.230	-329.686	70.817	-5.756	-316.324	72.036
59	0.58000	785.509	-377.447	68.080	37.664	467.787	67.520	810.681	402.523	73.927	743.234	-329.732	70.758	-5.762	-316.383	72.036
60	0.59000	785.494	-377.463	68.056	37.672	467.813	67.477	810.697	402.531	73.945	743.228	-329.720	70.779	-5.781	-316.345	72.021
