NO_OF_FRAMES	6000
NO_OF_CAMERAS	8
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-08-12, 14:06:56.892	1223230.27508510
DATA_INCLUDED	3D
MARKER_NAMES	DroneElCapitan - 1	DroneElCapitan - 2	DroneElCapitan - 3	DroneElCapitan - 4	DroneElCapitan - 5
TRAJECTORY_TYPES	Mixed	Mixed	Mixed	Mixed	Mixed
Frame	Time	DroneElCapitan - 1 X	DroneElCapitan - 1 Y	DroneElCapitan - 1 Z	DroneElCapitan - 2 X	DroneElCapitan - 2 Y	DroneElCapitan - 2 Z	DroneElCapitan - 3 X	DroneElCapitan - 3 Y	DroneElCapitan - 3 Z	DroneElCapitan - 4 X	DroneElCapitan - 4 Y	DroneElCapitan - 4 Z	DroneElCapitan - 5 X	DroneElCapitan - 5 Y	DroneElCapitan - 5 Z	
1088	10.87000	710.011	-315.911	183.432	-81.122	486.067	115.556	692.781	463.809	165.025	664.987	-270.562	182.003	-79.158	-302.214	144.543
1089	10.88000	707.566	-314.737	184.845	-84.190	486.706	117.133	690.225	464.932	166.697	662.552	-269.299	183.640	-82.144	-300.926	146.131
1090	10.89000	704.917	-313.334	186.419	-86.604	488.044	118.776	687.402	466.278	168.147	659.979	-267.990	185.038	-84.192	-300.119	147.551
1091	10.90000	702.330	-312.108	187.819	-89.766	488.904	120.478	684.671	467.498	169.480	657.400	-266.870	186.719	-87.295	-298.477	149.308
1092	10.91000	699.765	-310.915	189.393	-92.040	490.248	121.965	681.711	468.833	171.081	654.743	-265.406	188.022	-89.432	-297.930	150.765
1093	10.92000	697.099	-309.335	190.916	-95.318	491.629	124.064	678.847	470.229	172.462	652.142	-264.025	189.450	-92.394	-296.611	152.544
1094	10.93000	694.442	-307.904	192.223	-98.263	492.601	125.999	675.778	471.778	174.047	649.386	-262.555	190.878	-94.686	-295.581	154.164
1095	10.94000	691.715	-306.481	193.187	-100.974	494.042	127.682	673.087	473.215	175.468	646.680	-261.172	191.814	-97.742	-294.122	156.221
1096	10.95000	688.905	-305.234	194.036	-104.303	495.028	129.911	669.898	474.663	176.678	643.929	-259.850	192.895	-100.437	-293.174	158.241
1097	10.96000	685.975	-303.663	194.804	-107.170	496.500	132.011	667.053	475.869	178.104	640.981	-258.431	193.752	-103.296	-291.705	159.599
1098	10.97000	683.215	-302.289	195.604	-110.614	497.574	134.260	664.058	477.714	179.796	638.154	-256.939	194.640	-106.226	-290.360	160.928
1099	10.98000	680.245	-300.784	196.187	-113.451	499.238	136.258	660.862	478.835	181.214	635.190	-255.466	195.255	-109.238	-288.927	162.021
1100	10.99000	677.264	-299.232	196.733	-116.874	499.745	138.049	657.805	480.545	183.016	632.174	-254.098	196.001	-112.395	-287.480	162.958
1101	11.00000	674.398	-297.698	197.471	-120.016	501.984	140.435	654.644	481.826	184.463	629.110	-252.396	196.672	-115.141	-286.221	164.033
1102	11.01000	671.415	-296.094	197.980	-123.207	503.350	142.593	651.288	483.784	186.040	626.241	-250.882	197.228	-118.368	-284.851	165.083
1103	11.02000	668.324	-294.513	198.232	-126.811	504.426	144.644	648.226	485.124	187.267	623.174	-249.248	197.589	-121.154	-283.690	166.055
1104	11.03000	665.333	-292.784	198.424	-129.835	506.234	146.594	644.581	487.093	188.291	620.216	-247.659	197.916	-124.653	-281.945	167.259
1105	11.04000	662.034	-291.297	198.589	-133.331	507.782	148.488	641.446	488.547	189.376	616.905	-246.066	198.237	-127.357	-280.793	168.427
1106	11.05000	658.862	-289.709	198.499	-136.585	509.212	150.186	637.743	489.782	189.650	613.815	-244.479	198.290	-130.903	-278.994	169.346
1107	11.06000	655.631	-288.194	198.536	-140.177	510.715	151.730	634.713	491.820	191.256	610.471	-242.926	198.463	-133.800	-277.947	170.007
1108	11.07000	652.411	-286.542	198.487	-143.445	512.289	153.115	631.301	493.658	192.199	607.164	-241.311	198.424	-137.472	-276.087	170.702
1109	11.08000	648.977	-284.858	198.522	-147.149	513.508	154.610	627.863	495.046	192.641	603.894	-239.726	198.677	-140.360	-275.051	171.329
1110	11.09000	645.938	-283.126	198.680	-150.379	514.645	155.191	624.409	496.758	193.306	600.773	-238.028	198.712	-144.193	-272.991	171.859
1111	11.10000	642.532	-281.399	198.720	-154.223	517.736	157.823	620.905	498.360	193.655	597.366	-236.252	198.718	-147.168	-271.669	172.586
1112	11.11000	639.184	-279.647	198.625	-157.719	518.415	158.687	617.329	499.997	194.089	593.935	-234.529	198.728	-151.163	-269.370	173.402
1113	11.12000	635.842	-277.933	198.199	-160.998	520.281	159.875	613.754	501.731	194.335	590.537	-232.869	198.442	-154.140	-268.197	174.095
1114	11.13000	632.352	-276.356	197.774	-164.834	521.567	160.978	610.467	503.406	194.704	587.089	-231.193	198.069	-158.003	-266.246	174.759
1115	11.14000	628.846	-274.838	197.287	-168.215	523.399	161.836	606.868	505.055	194.837	583.698	-229.547	197.692	-161.088	-265.244	175.032
1116	11.15000	625.363	-273.229	197.001	-171.925	524.917	162.747	603.305	506.809	195.016	580.080	-227.994	197.506	-164.875	-263.394	175.602
1117	11.16000	621.933	-271.305	196.505	-175.364	526.646	163.310	599.645	508.510	194.741	576.718	-226.194	197.265	-168.001	-262.221	175.981
1118	11.17000	618.373	-269.919	196.373	-179.215	528.085	163.709	596.141	510.142	194.410	573.033	-224.632	196.900	-171.746	-260.176	176.076
1119	11.18000	614.819	-268.070	196.024	-182.585	529.856	163.936	592.311	511.808	193.974	569.590	-222.907	196.803	-175.069	-258.872	176.229
1120	11.19000	611.174	-266.345	196.021	-186.572	531.192	164.017	588.756	513.481	193.585	565.949	-221.209	196.594	-178.937	-256.842	176.437
1121	11.20000	607.614	-264.639	195.914	-189.944	533.011	163.689	585.282	515.178	193.592	562.340	-219.502	196.469	-182.432	-255.546	176.414
1122	11.21000	603.825	-262.992	195.563	-193.826	534.374	163.329	581.726	516.842	193.125	558.651	-217.934	196.114	-186.358	-253.529	176.318
1123	11.22000	600.237	-261.364	195.227	-197.503	536.980	163.812	577.826	518.358	192.761	555.082	-216.261	195.684	-189.854	-252.009	175.968
1124	11.23000	596.585	-259.573	194.781	-200.907	538.222	162.421	574.437	520.046	192.293	551.243	-214.513	195.316	-193.733	-250.102	175.851
1125	11.24000	592.910	-257.907	194.019	-204.841	539.556	162.163	570.609	521.783	191.794	547.651	-212.912	194.679	-197.354	-248.550	175.126
1126	11.25000	589.083	-256.437	193.137	-208.387	541.552	161.395	566.705	523.334	190.618	543.869	-211.312	193.844	-201.154	-246.876	174.753
1127	11.26000	585.353	-254.653	192.439	-212.224	542.985	160.801	562.931	525.009	189.872	540.240	-209.599	193.186	-204.688	-245.287	174.129
1128	11.27000	581.497	-252.783	191.452	-215.867	544.860	159.784	559.402	526.854	188.829	536.334	-207.851	192.333	-208.544	-243.549	173.540
1129	11.28000	577.759	-251.341	190.996	-219.764	546.390	158.885	555.566	528.722	187.802	532.436	-206.269	191.399	-212.200	-241.819	172.468
1130	11.29000	573.856	-249.659	189.896	-223.362	548.387	157.690	551.816	530.261	186.763	528.676	-204.486	190.447	-216.038	-240.228	171.505
1131	11.30000	569.943	-248.086	188.869	-227.366	549.836	156.712	548.009	531.935	185.646	524.766	-202.951	189.440	-219.894	-238.431	170.116
1132	11.31000	566.232	-246.281	187.488	-230.969	551.830	155.318	544.264	533.547	184.526	520.996	-201.127	187.988	-223.809	-236.687	168.966
1133	11.32000	562.290	-244.743	185.840	-235.087	553.041	153.861	540.334	535.161	183.113	517.116	-199.581	186.461	-227.779	-234.873	167.220
1134	11.33000	558.534	-243.009	184.329	-238.655	555.198	152.274	536.424	536.764	181.564	513.375	-197.747	184.975	-231.668	-233.107	165.864
1135	11.34000	554.736	-241.215	182.615	-242.790	556.370	150.697	532.674	538.625	179.986	509.526	-196.054	183.368	-235.551	-231.339	163.958
1136	11.35000	550.747	-239.373	180.900	-246.734	559.281	149.630	528.822	540.300	178.471	505.471	-194.304	181.710	-239.342	-229.730	162.242
1137	11.36000	546.914	-237.732	179.349	-250.500	560.236	146.749	524.776	542.164	176.756	501.692	-192.543	180.012	-243.368	-228.062	160.119
1138	11.37000	542.766	-235.913	177.637	-254.657	561.781	144.876	520.887	543.917	175.013	497.523	-190.774	178.240	-247.255	-226.208	158.334
1139	11.38000	538.833	-234.211	175.725	-258.355	563.774	142.844	516.761	545.592	173.009	493.495	-189.072	176.112	-251.478	-224.691	156.310
1140	11.39000	534.666	-232.579	173.581	-262.557	565.320	140.754	512.859	547.301	171.105	489.467	-187.488	174.232	-255.341	-223.076	154.212
1141	11.40000	530.684	-231.078	171.710	-266.295	567.444	138.569	508.707	549.161	168.970	485.459	-185.721	172.056	-259.380	-221.263	152.197
1142	11.41000	526.382	-229.319	169.278	-270.489	569.051	136.256	504.759	550.908	166.708	481.238	-184.167	169.994	-263.372	-219.482	150.085
1143	11.42000	522.498	-227.404	166.776	-274.367	570.971	133.855	500.405	552.540	164.226	477.389	-182.154	167.509	-267.507	-217.732	147.419
1144	11.43000	518.279	-225.687	164.519	-278.727	572.530	131.077	496.676	554.346	161.879	473.127	-180.556	165.107	-271.624	-215.746	144.954
1145	11.44000	514.311	-223.711	162.121	-282.567	574.501	128.360	492.471	556.140	159.562	469.098	-178.622	162.620	-275.759	-213.962	141.984
1146	11.45000	510.126	-221.943	159.719	-287.040	576.011	125.594	488.259	557.688	156.840	464.852	-176.856	160.086	-279.985	-212.036	139.212
1147	11.46000	505.987	-220.126	157.041	-290.802	578.171	122.757	484.293	559.479	154.614	460.719	-174.969	157.584	-284.273	-210.250	136.133
1148	11.47000	501.599	-218.484	154.406	-295.211	579.732	119.947	480.013	561.246	151.670	456.388	-173.292	154.852	-288.477	-208.244	133.056
1149	11.48000	497.345	-216.699	151.404	-298.970	581.299	116.590	475.822	562.930	149.203	452.142	-171.535	152.044	-292.851	-206.349	130.057
1150	11.49000	492.914	-215.038	148.380	-303.487	584.460	114.821	471.618	564.819	146.169	447.815	-169.844	148.881	-297.001	-204.562	126.941
1151	11.50000	488.626	-213.325	145.252	-307.525	585.579	111.276	467.494	566.609	143.723	443.381	-168.218	145.959	-301.360	-202.745	123.582
1152	11.51000	484.135	-211.694	142.176	-311.654	587.757	108.270	463.177	568.450	140.971	438.904	-166.350	142.610	-305.604	-200.763	120.264
1153	11.52000	479.796	-209.825	138.860	-316.090	589.479	105.276	459.063	570.719	138.947	434.621	-164.591	139.557	-310.040	-198.900	116.970
1154	11.53000	475.496	-208.073	135.936	-320.189	591.682	102.230	454.750	572.007	135.405	430.235	-162.786	136.182	-314.312	-197.021	113.332
1155	11.54000	470.895	-206.377	132.419	-324.591	593.415	99.119	450.546	573.749	132.530	425.757	-161.225	133.022	-318.930	-194.868	109.879
1156	11.55000	466.502	-204.431	128.756	-328.858	595.598	96.123	446.282	575.621	129.257	421.419	-159.172	129.373	-323.270	-193.032	106.536
1157	11.56000	462.029	-202.646	125.276	-333.283	597.308	93.258	441.952	576.953	125.614	416.947	-157.394	125.965	-328.030	-190.810	103.350
1158	11.57000	457.567	-200.737	121.755	-337.467	599.426	90.411	437.805	579.057	122.720	412.477	-155.452	122.544	-332.435	-188.899	100.185
1159	11.58000	453.083	-199.104	118.318	-342.075	601.055	87.555	433.503	580.887	119.578	408.050	-153.884	119.043	-337.227	-186.587	96.830
1160	11.59000	448.558	-197.049	114.942	-346.121	603.562	84.682	428.855	582.585	116.352	403.347	-151.819	115.637	-341.513	-184.874	93.708
1161	11.60000	443.948	-195.256	111.498	-350.850	605.082	81.892	424.631	584.451	113.532	398.822	-150.075	112.259	-346.362	-182.662	90.583
1162	11.61000	439.259	-193.523	107.810	-354.852	607.534	78.870	419.929	586.250	110.038	394.228	-148.287	108.677	-350.643	-180.961	87.284
1163	11.62000	434.609	-192.004	104.023	-359.436	608.723	75.530	415.512	588.037	106.822	389.634	-146.760	104.800	-355.555	-178.798	84.202
1164	11.63000	429.945	-190.300	100.567	-363.872	612.265	73.975	411.036	589.897	103.456	384.927	-144.819	101.506	-359.723	-177.151	81.206
1165	11.64000	425.227	-188.337	96.768	-368.280	613.793	70.778	406.673	591.690	100.086	380.369	-143.045	98.112	-364.723	-174.896	78.256
1166	11.65000	420.650	-186.633	93.430	-372.746	615.432	67.422	402.430	593.604	96.806	375.632	-141.286	94.367	-368.987	-173.142	75.175
1167	11.66000	416.203	-184.686	90.226	-377.032	617.520	64.456	397.813	595.283	93.413	371.307	-139.239	91.205	-374.055	-170.849	72.048
1168	11.67000	411.525	-182.945	87.234	-381.682	619.380	61.550	393.643	597.069	90.287	366.486	-137.672	88.180	-378.350	-169.172	68.910
1169	11.68000	407.002	-180.919	84.174	-386.034	621.445	58.195	388.996	598.661	86.848	362.000	-135.597	85.080	-383.550	-166.872	65.826
1170	11.69000	402.089	-179.314	81.027	-390.695	623.291	55.017	384.578	600.257	83.530	357.099	-134.144	81.929	-387.938	-165.167	62.983
1171	11.70000	397.866	-177.682	78.391	-394.650	625.087	52.467	380.402	602.494	80.659	352.889	-132.300	79.810	-392.666	-162.620	60.775
1172	11.71000	393.796	-176.604	77.126	-398.762	626.754	51.465	376.624	604.002	79.540	349.078	-131.090	79.540	-397.109	-160.838	60.492
1173	11.72000	389.486	-175.384	76.733	-402.582	628.277	51.284	372.492	605.918	78.588	344.697	-129.848	79.252	-401.358	-158.987	60.954
1174	11.73000	385.585	-173.861	78.032	-406.231	630.200	52.831	368.917	607.453	79.000	340.793	-128.352	80.265	-405.256	-157.400	62.963
1175	11.74000	381.587	-172.081	80.556	-409.975	631.701	55.366	364.930	608.482	80.224	336.858	-126.538	82.053	-409.206	-155.891	66.430
1176	11.75000	377.612	-170.322	83.645	-413.724	633.627	58.363	361.317	609.806	81.940	332.767	-124.951	84.172	-412.639	-154.558	70.156
1177	11.76000	373.792	-168.313	86.085	-417.363	635.178	60.594	357.382	610.736	83.120	328.981	-122.844	86.078	-416.475	-152.972	73.387
1178	11.77000	369.925	-166.509	87.432	-421.334	636.862	61.987	353.738	611.889	83.377	324.986	-121.028	87.005	-420.164	-151.662	75.406
1179	11.78000	366.078	-164.852	87.164	-425.377	638.436	61.711	350.218	613.477	82.573	321.049	-119.532	86.974	-424.015	-149.996	76.372
1180	11.79000	362.200	-163.474	85.489	-429.552	639.783	60.254	346.324	615.135	80.176	317.189	-118.125	85.856	-428.128	-148.470	75.985
1181	11.80000	358.105	-162.263	82.932	-433.827	641.600	58.200	342.851	616.802	77.278	313.257	-116.862	84.127	-432.037	-146.802	74.646
1182	11.81000	354.005	-161.148	80.487	-437.657	642.628	55.543	338.491	618.743	74.088	309.286	-115.749	82.323	-436.491	-144.877	73.502
1183	11.82000	349.993	-159.803	78.969	-441.555	644.353	53.606	334.519	620.824	71.688	305.190	-114.325	80.946	-440.816	-142.851	72.670
1184	11.83000	345.990	-158.523	78.428	-445.164	646.173	52.157	330.517	622.168	69.874	301.178	-112.817	80.089	-444.859	-141.134	72.267
1185	11.84000	342.016	-156.803	78.442	-448.472	647.888	51.522	326.433	624.276	69.048	297.293	-111.346	79.751	-448.819	-138.961	71.664
1186	11.85000	338.437	-155.633	80.057	-451.707	649.617	51.871	322.935	625.362	69.790	293.722	-110.091	81.278	-452.238	-137.853	73.140
1187	11.86000	334.963	-154.067	81.467	-454.677	651.371	52.200	319.521	626.197	70.044	290.174	-108.460	82.563	-455.727	-136.259	73.936
1188	11.87000	331.475	-152.680	82.804	-457.740	653.162	52.705	316.264	627.958	71.489	286.832	-107.036	83.566	-459.020	-134.971	74.524
1189	11.88000	327.856	-151.248	84.295	-461.170	654.740	52.915	313.383	628.830	72.225	283.153	-105.632	84.661	-461.946	-133.822	74.957
1190	11.89000	324.381	-149.844	84.990	-464.411	656.550	52.958	310.344	629.779	72.583	279.597	-104.117	85.204	-465.049	-132.625	75.021
1191	11.90000	320.832	-148.498	85.143	-467.711	657.531	51.573	307.427	630.804	72.366	276.221	-102.695	85.323	-468.348	-131.472	74.420
1192	11.91000	317.489	-147.170	84.934	-471.406	658.696	49.964	304.664	632.074	72.329	272.811	-101.501	85.348	-471.729	-130.181	73.346
1193	11.92000	314.278	-145.817	84.484	-474.858	659.992	48.267	301.165	633.471	71.828	269.519	-100.149	85.216	-475.330	-128.349	71.963
1194	11.93000	310.903	-144.531	84.226	-478.112	661.363	48.354	297.933	634.954	71.646	266.237	-98.979	84.869	-479.129	-126.245	70.828
1195	11.94000	307.768	-143.252	84.380	-480.905	663.043	49.314	294.323	636.751	71.988	262.907	-97.385	84.987	-482.880	-124.413	69.876
1196	11.95000	304.351	-141.912	85.035	-483.902	664.479	49.855	290.970	638.336	72.575	259.645	-96.367	85.675	-486.542	-122.444	69.500
1197	11.96000	301.304	-140.310	85.352	-486.546	666.403	50.032	287.891	639.964	73.790	256.448	-94.771	85.642	-489.934	-120.784	69.639
1198	11.97000	297.867	-139.093	85.472	-489.596	667.875	49.858	284.560	641.237	74.665	253.275	-93.664	85.759	-492.886	-119.209	69.542
1199	11.98000	294.664	-138.043	85.103	-492.426	669.552	49.220	281.584	642.357	75.475	250.025	-92.392	85.056	-495.663	-118.538	70.088
1200	11.99000	291.384	-136.917	84.307	-495.462	671.031	48.877	278.921	643.400	76.049	246.887	-91.228	84.599	-498.339	-117.424	69.948
1201	12.00000	288.128	-136.046	83.117	-498.263	672.390	48.501	276.616	644.466	76.371	243.542	-90.386	83.732	-501.101	-116.079	69.359
1202	12.01000	285.108	-134.868	82.341	-501.347	674.594	49.621	273.805	645.365	75.937	240.592	-89.012	83.490	-504.026	-114.794	68.431
1203	12.02000	282.014	-133.628	82.041	-504.028	675.131	48.902	271.271	646.333	75.564	237.601	-87.791	83.229	-507.106	-113.458	67.368
1204	12.03000	279.211	-132.237	82.518	-506.860	676.542	48.952	268.693	647.459	75.231	234.686	-86.574	83.576	-510.329	-111.858	66.550
1205	12.04000	276.504	-130.763	83.617	-509.687	677.917	49.137	265.886	648.815	75.126	231.972	-85.133	84.250	-513.584	-109.963	66.089
1206	12.05000	273.783	-129.243	84.636	-512.217	679.483	48.867	263.255	650.286	75.282	229.163	-83.557	84.831	-516.819	-108.126	66.181
1207	12.06000	270.868	-128.200	85.403	-514.997	680.679	48.993	259.972	651.801	75.523	226.153	-82.542	85.397	-519.863	-106.694	66.916
1208	12.07000	268.148	-126.962	85.381	-517.357	682.268	48.939	257.109	653.057	75.962	223.477	-81.182	85.249	-522.741	-105.136	67.852
1209	12.08000	265.002	-126.003	84.435	-519.866	683.420	49.071	254.626	654.456	76.258	220.588	-80.399	85.047	-525.477	-103.602	68.335
1210	12.09000	262.241	-125.257	83.763	-522.220	684.962	48.893	251.823	655.481	76.143	217.959	-79.545	84.495	-528.022	-102.601	68.673
1211	12.10000	259.374	-124.388	83.297	-524.646	686.473	48.614	249.691	656.664	75.967	215.034	-78.519	84.111	-530.314	-101.578	68.693
1212	12.11000	256.835	-123.066	83.104	-526.948	687.930	47.846	247.465	657.610	75.555	212.434	-77.121	84.085	-532.609	-100.608	68.173
1213	12.12000	254.189	-121.858	83.496	-529.642	689.295	47.858	245.441	658.635	75.065	209.815	-75.843	84.246	-534.897	-99.688	67.889
1214	12.13000	251.682	-120.654	83.824	-531.779	689.800	47.970	242.950	659.294	73.897	207.257	-74.725	84.372	-537.484	-98.535	67.688
1215	12.14000	249.425	-119.195	84.435	-534.352	691.290	48.864	240.796	660.205	73.589	204.874	-73.320	84.612	-540.167	-96.970	67.664
1216	12.15000	247.056	-117.981	84.498	-536.743	692.795	49.674	238.644	661.434	73.694	202.557	-72.118	84.681	-543.012	-95.343	67.908
1217	12.16000	244.726	-116.871	83.991	-539.076	693.978	49.915	236.008	662.441	73.701	200.185	-71.075	84.240	-545.759	-93.801	68.370
1218	12.17000	242.333	-116.019	83.301	-541.461	694.848	49.881	233.727	663.948	74.193	197.836	-70.176	83.869	-548.418	-92.305	68.902
1219	12.18000	239.858	-115.177	82.544	-543.576	696.228	49.415	231.229	665.260	74.391	195.455	-69.194	83.330	-551.064	-90.977	69.727
1220	12.19000	237.270	-114.216	82.125	-545.954	697.383	48.856	228.862	666.147	74.284	192.968	-68.319	83.228	-553.081	-89.949	69.443
1221	12.20000	234.836	-113.272	82.030	-547.860	698.784	48.236	226.488	667.460	74.030	190.596	-67.359	83.072	-555.210	-89.105	69.755
1222	12.21000	232.371	-112.355	82.584	-550.052	700.059	48.185	224.716	668.433	73.787	188.094	-66.276	83.483	-557.271	-88.146	69.504
1223	12.22000	230.088	-111.181	83.421	-551.824	701.505	48.428	222.571	669.211	73.396	185.850	-65.083	83.962	-559.483	-86.938	69.283
1224	12.23000	227.709	-110.143	84.182	-553.844	702.751	48.941	220.673	670.022	72.830	183.471	-64.086	84.613	-561.559	-85.950	68.618
1225	12.24000	225.455	-109.078	84.782	-555.757	704.140	49.098	218.935	670.957	72.852	181.333	-63.043	85.083	-563.771	-84.913	68.410
1226	12.25000	223.117	-108.156	85.210	-557.946	705.275	48.921	217.055	671.904	72.918	178.747	-62.210	85.393	-566.196	-83.547	68.351
1227	12.26000	221.142	-106.924	85.143	-560.106	706.320	48.188	214.698	672.816	73.110	176.801	-61.031	85.390	-568.658	-82.119	68.580
1228	12.27000	218.961	-105.999	84.898	-562.342	707.242	47.504	212.557	673.833	73.523	174.566	-60.094	85.197	-571.124	-80.535	68.970
1229	12.28000	216.881	-104.757	84.313	-564.446	708.273	47.422	210.298	674.972	73.847	172.316	-58.807	84.582	-573.485	-79.232	69.397
1230	12.29000	214.586	-103.839	84.053	-566.514	709.528	48.145	208.029	676.394	74.211	170.068	-57.752	84.378	-575.869	-77.687	69.450
1231	12.30000	212.331	-102.987	83.681	-568.485	710.743	48.404	206.212	677.499	74.528	167.867	-56.845	84.130	-578.073	-76.731	69.558
1232	12.31000	209.778	-102.230	83.559	-570.487	712.132	48.779	203.831	678.545	74.291	165.553	-56.160	84.048	-580.229	-75.276	68.204
1233	12.32000	207.456	-101.097	83.203	-572.498	713.453	48.856	202.079	679.531	74.363	163.281	-55.107	83.665	-582.145	-74.441	67.484
1234	12.33000	205.298	-99.978	82.608	-574.491	714.874	48.987	199.914	680.415	74.323	161.209	-53.791	83.256	-584.114	-73.466	66.716
1235	12.34000	203.112	-98.943	81.963	-576.500	716.268	49.314	198.262	681.412	74.458	158.917	-52.678	82.704	-586.149	-72.517	66.199
1236	12.35000	200.797	-97.936	81.356	-578.521	717.307	49.542	195.984	682.359	74.674	156.707	-51.854	82.172	-588.224	-71.445	65.906
1237	12.36000	198.853	-96.717	80.925	-580.670	718.522	49.973	193.955	683.433	75.226	154.717	-50.575	81.835	-590.508	-70.143	65.890
1238	12.37000	196.756	-95.447	80.897	-582.913	719.664	50.201	191.815	684.502	75.804	152.566	-49.375	81.882	-592.905	-68.793	65.885
1239	12.38000	194.694	-94.114	80.925	-585.094	720.889	50.221	189.600	685.563	76.494	150.401	-48.066	81.813	-595.263	-67.422	65.791
1240	12.39000	192.519	-92.971	81.202	-587.372	721.803	50.227	187.254	686.890	77.071	148.238	-46.902	81.905	-597.620	-65.934	65.524
1241	12.40000	190.234	-91.738	81.373	-589.518	723.114	50.304	185.064	688.147	77.564	146.022	-45.772	82.000	-600.020	-64.373	65.276
1242	12.41000	187.868	-90.802	81.335	-591.800	724.231	50.633	182.762	689.368	77.637	143.676	-44.764	82.012	-602.548	-63.285	65.273
1243	12.42000	185.455	-89.848	80.972	-593.716	725.713	50.965	180.626	690.575	77.703	141.363	-43.775	81.744	-604.597	-62.183	64.748
1244	12.43000	183.037	-88.906	80.764	-595.992	726.929	51.292	178.440	691.788	77.681	138.910	-42.739	81.697	-606.676	-60.975	64.370
1245	12.44000	180.595	-87.486	80.673	-597.916	727.960	51.181	176.598	693.045	78.257	136.655	-41.390	82.048	-608.651	-59.982	64.640
1246	12.45000	178.442	-86.331	81.273	-600.298	730.576	52.952	174.203	694.057	78.532	134.133	-40.018	82.071	-610.840	-58.836	64.918
1247	12.46000	176.195	-85.040	81.669	-602.568	730.914	52.553	172.075	695.136	79.342	132.065	-38.870	82.671	-613.004	-57.706	65.437
1248	12.47000	173.965	-83.739	82.176	-604.722	732.354	53.185	169.639	696.314	80.394	129.778	-37.501	83.112	-615.355	-56.447	65.966
1249	12.48000	171.763	-82.408	83.076	-607.243	733.420	54.128	167.647	697.489	81.461	127.535	-36.369	83.733	-617.804	-55.186	66.908
1250	12.49000	169.420	-81.199	83.452	-609.572	734.528	55.079	164.876	698.744	82.351	125.290	-35.141	84.232	-620.439	-53.624	67.658
1251	12.50000	167.097	-79.943	84.109	-611.936	735.977	56.299	162.872	700.146	83.177	122.948	-33.919	85.083	-623.074	-52.152	68.480
1252	12.51000	164.641	-78.612	84.981	-614.351	737.151	57.241	160.283	701.625	83.978	120.555	-32.592	86.086	-625.557	-50.740	69.471
1253	12.52000	162.185	-77.433	86.197	-616.938	738.309	58.340	157.662	702.912	84.750	117.949	-31.297	87.404	-628.007	-49.419	70.163
1254	12.53000	159.722	-76.549	88.059	-619.211	739.644	59.164	155.303	704.152	85.810	115.477	-30.247	88.664	-630.462	-47.980	71.265
1255	12.54000	156.983	-75.168	89.218	-621.811	740.329	59.764	153.102	705.459	87.274	113.010	-29.015	90.257	-632.690	-47.075	72.510
1256	12.55000	154.590	-73.686	91.211	-624.198	742.571	61.058	150.487	706.566	88.765	110.582	-27.399	92.048	-634.828	-45.866	73.881
1257	12.56000	152.130	-72.210	93.090	-626.518	743.849	62.471	147.961	707.623	90.299	108.072	-25.936	93.780	-637.252	-44.785	75.566
1258	12.57000	149.703	-70.694	94.961	-629.155	745.104	64.208	145.559	709.544	92.980	105.600	-24.646	95.683	-639.450	-43.786	77.568
1259	12.58000	147.415	-69.278	96.717	-631.533	746.556	65.710	142.838	710.730	94.603	103.233	-23.093	97.551	-641.947	-42.312	79.537
1260	12.59000	144.850	-67.842	98.810	-634.103	747.913	67.576	140.218	712.054	96.710	100.708	-21.833	99.666	-644.640	-40.711	81.323
1261	12.60000	142.473	-66.337	100.867	-636.806	749.049	69.206	137.390	713.621	98.705	98.210	-20.220	101.709	-647.371	-39.336	82.747
1262	12.61000	140.077	-65.229	103.671	-639.753	749.845	70.721	134.720	715.110	100.906	95.769	-18.888	104.187	-650.109	-37.922	84.169
1263	12.62000	137.305	-63.562	105.903	-642.187	751.096	72.116	131.957	716.664	103.338	93.246	-17.387	106.659	-652.852	-36.400	85.638
1264	12.63000	134.704	-62.024	108.519	-645.197	753.167	74.512	129.428	718.262	105.807	90.417	-15.937	109.134	-655.376	-35.353	87.303
1265	12.64000	131.946	-60.696	111.056	-648.140	753.787	76.575	126.426	719.644	108.335	87.710	-14.567	111.646	-657.899	-33.871	89.104
1266	12.65000	129.260	-59.298	113.445	-650.620	755.474	78.804	123.798	720.871	110.800	85.094	-13.202	114.009	-660.465	-32.785	91.684
1267	12.66000	126.467	-58.039	115.938	-653.473	756.894	81.435	121.025	722.302	113.587	82.270	-11.851	116.581	-662.850	-31.656	94.573
1268	12.67000	123.809	-56.505	118.374	-656.218	757.996	83.891	118.208	723.653	116.373	79.570	-10.373	119.089	-665.463	-30.614	97.643
1269	12.68000	121.157	-54.849	120.885	-659.151	759.167	86.234	115.359	725.079	119.113	77.041	-8.804	121.946	-667.978	-29.234	100.051
1270	12.69000	118.441	-53.446	124.298	-661.777	760.259	88.354	112.425	726.722	122.180	74.229	-7.394	125.017	-670.715	-27.969	102.793
1271	12.70000	116.060	-51.434	127.523	-664.892	762.133	91.551	109.549	728.503	125.151	71.617	-5.541	128.176	-673.574	-26.532	105.300
1272	12.71000	113.353	-49.942	130.923	-668.086	763.362	94.208	106.286	729.960	127.937	68.852	-4.040	131.374	-676.550	-25.071	107.829
